#"Cosmicflows-3 Distances"|"Cosmicflows-3 Distances"|"Cosmicflows-3 Distances"|"Cosmicflows-3 Distances"|"Cosmicflows-3 Distances"|"Cosmicflows-3 Distances"
#pgc|Dist|Nd|DM|eDM|DMgp|eDgp
%7s|%6.2f|%1d|%5.2f|%4.2f|%5.2f|%4.2f
#---|Mpc||mag||mag|
#"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Number of distance sources"|"Luminosity distance modulus (weighted average if more than one source)"|"1 sigma uncertainty in distance modulus (NOTE! NOT fractional error in distance as given in CF2)"|"Luminosity distance modulus to group; weighted average of all contributions"|"1 sigma error in group distance modulus"
4|50.58|1|33.52|0.40|33.52|0.40
27|150.66|1|35.89|0.50|35.89|0.50
40|116.95|1|35.34|0.50|35.34|0.50
51|240.99|1|36.91|0.50|36.91|0.50
55|73.79|1|34.34|0.40|34.34|0.40
64|211.84|1|36.63|0.50|36.25|0.15
66|182.81|1|36.31|0.50|36.25|0.15
70|117.49|1|35.35|0.40|35.35|0.40
76|97.72|1|34.95|0.40|34.95|0.40
82|114.82|1|35.30|0.50|36.21|0.17
94|67.61|1|34.15|0.54|34.15|0.54
114|134.28|1|35.64|0.50|36.25|0.15
115|188.80|1|36.38|0.50|36.38|0.50
123|168.27|1|36.13|0.50|36.13|0.50
124|81.66|1|34.56|0.40|34.56|0.40
143|0.96|4|24.92|0.10|24.92|0.10
145|134.28|1|35.64|0.40|35.64|0.40
165|86.30|1|34.68|0.40|34.97|0.14
176|103.28|1|35.07|0.40|35.07|0.40
179|71.12|1|34.26|0.40|34.26|0.40
181|12.13|1|30.42|0.54|30.42|0.54
182|151.36|1|35.90|0.50|36.76|0.22
186|115.88|1|35.32|0.40|35.32|0.40
196|211.84|1|36.63|0.50|36.25|0.15
201|127.06|1|35.52|0.40|35.52|0.40
205|105.20|1|35.11|0.40|35.11|0.40
212|206.06|1|36.57|0.40|36.57|0.40
218|14.45|3|30.80|0.21|31.01|0.17
224|165.96|1|36.10|0.50|35.74|0.12
226|92.47|1|34.83|0.40|35.37|0.28
250|92.04|2|34.82|0.16|34.82|0.16
255|19.41|2|31.44|0.30|31.01|0.17
259|109.14|1|35.19|0.40|35.19|0.40
262|136.14|1|35.67|0.50|35.67|0.50
265|118.58|1|35.37|0.40|35.74|0.12
279|29.38|2|32.34|0.30|32.34|0.30
280|108.64|1|35.18|0.40|35.71|0.31
282|154.88|1|35.95|0.20|35.95|0.20
291|155.60|1|35.96|0.40|35.74|0.12
292|167.49|1|36.12|0.40|36.12|0.40
293|103.75|1|35.08|0.50|35.08|0.50
296|106.66|1|35.14|0.40|35.14|0.40
298|48.08|1|33.41|0.40|33.41|0.40
301|78.70|1|34.48|0.40|34.48|0.40
303|42.07|1|33.12|0.40|33.76|0.28
305|44.46|1|33.24|0.40|33.24|0.40
322|99.08|1|34.98|0.50|34.98|0.50
331|133.66|1|35.63|0.50|36.21|0.17
337|121.34|1|35.42|0.50|35.42|0.50
354|105.68|1|35.12|0.40|35.00|0.28
362|96.38|1|34.92|0.50|35.74|0.12
366|94.62|1|34.88|0.40|35.00|0.28
367|100.46|1|35.01|0.40|35.01|0.40
374|182.81|1|36.31|0.50|35.74|0.12
382|162.93|1|36.06|0.40|35.74|0.12
383|143.88|1|35.79|0.40|35.74|0.12
388|8.71|1|29.70|0.20|29.70|0.20
393|142.56|1|35.77|0.40|35.77|0.40
399|207.97|1|36.59|0.50|36.21|0.17
415|102.33|2|35.05|0.16|34.97|0.14
424|79.07|1|34.49|0.50|34.49|0.50
431|86.30|1|34.68|0.40|34.68|0.40
449|117.49|1|35.35|0.50|35.75|0.29
456|152.05|1|35.91|0.50|35.74|0.12
468|131.83|1|35.60|0.50|35.75|0.29
484|141.25|1|35.75|0.50|36.21|0.17
485|69.50|1|34.21|0.50|34.21|0.50
507|103.75|1|35.08|0.40|35.08|0.40
511|95.94|1|34.91|0.40|34.68|0.28
514|158.49|1|36.00|0.50|35.74|0.12
515|71.45|1|34.27|0.17|34.27|0.17
517|108.14|1|35.17|0.40|35.17|0.40
524|77.62|1|34.45|0.40|34.68|0.28
526|120.78|3|35.41|0.31|35.74|0.12
527|73.11|1|34.32|0.54|34.32|0.54
548|83.56|1|34.61|0.40|34.61|0.40
