# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
143|WLM|0.98|0.05|75.8655|-73.6256|277.8076|8.0847|-124|-67|-31|0.13|-0.96|0.14|1|24.96|0.10| | | | |222|"14-12 12"
181|ESO012-014|32.40|6.7|305.4559|-36.5399|216.1117|-13.3206|1953|1801|1738|-25.44|-18.56|-7.46|3| | | |32.55|0.41| |1028|"55 -5  5"
218|NGC7814|13.20|1.3|106.4096|-45.1747|309.0615|16.4021|1050|1200|1275|7.97|-9.82|3.72|2| | |30.60| | | |1211|"65 -6  6"
255|UGC00017|13.70|1.0|106.2143|-46.0988|308.1421|16.0963|881|1029|1103|8.15|-10.38|3.81|3| | | |30.69|0.16| |1211|"65 -6  6"
279|NGC7817|28.60|3.3|108.2279|-40.7610|313.8135|17.1421|2310|2470|2549|18.90|-19.71|8.42|3| | | |32.28|0.24| |1178|"64 -8  8"
474|ESO293-034|23.90|3.4|332.8271|-72.9123|253.5419|-1.5693|1542|1507|1500|-6.76|-22.89|-0.65|3| | | |31.89|0.29| |1088|"61  0 16"
621|ESO349-031|3.21|0.16|351.4707|-78.1179|260.1831|0.4018|207|195|200|-0.55|-3.16|0.02|1|27.53|0.10| | | | |233|"14-13 13"
627|NGC0007|20.70|2.4|13.9863|-80.1375|264.5889|1.9312|1496|1500|1513|-1.95|-20.60|0.70|3| | | |31.58|0.24| |1096|"61-18 18"
647|NGC0014|13.70|1.0|108.1251|-45.8249|309.0197|15.0358|865|1012|1086|8.35|-10.31|3.56|3| | | |30.69|0.16| |1211|"65 -6  6"
701|NGC0024|5.27|0.40|43.6913|-80.4348|269.3882|3.2257|553|574|594|-0.06|-5.26|0.30|3| | | |28.61|0.16| |355|"19 -8  7"
721|ESO538-024|18.00| |73.8803|-77.0278|275.7753|5.3007|1546|1590|1621|1.85|-18.28|1.70|4| | | | | |31.33|1108|"61  0  0"
