\ ------------------------------------------------------------------------------------------------------------------
\
\ S4G pipeline 5 stellar masses.
\ 
\ M.Querejeta & S.Meidt, MPIA, Heidelberg, September 2014 (contact: querejeta@mpia.de)
\
\ ------------------------------------------------------------------------------------------------------------------
\ COLUMN DESCRIPTION:
\ 
\ Column #1: Galaxy name
\  
\ Column #2: Stellar mass (ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote; M/L=0.6 Msun/Lsun)
\  
\ Column #3: Flux of ICA-corrected 3.6um image integrated within the 25.5mag/arcsec^2 isophote
\  
\ Column #4: (Weighted) average signal-to-noise ratio of the original 3.6um image (see paper for details)
\  
\ Column #5: Distance (Muñoz-Mateos et al. 2015)
\  
\ Column #6: Hubble type (Buta et al. 2015)
\  
\ -----------------------------------------------------------------------------------
|       #1|             #2|             #3|             #4|             #5|      #6|
|   Galaxy|   Stellar mass|        s2 flux|            S/N|       Distance|Hubble T|
|         |           Msun|         MJy/sr|               |            Mpc|  R.Buta|
ESO027-001      9387491328     2335.952637       24.023979       18.309999        3
ESO234-049      8475250688      464.359406       27.286949       34.490002        6
ESO238-018      2954772480      104.388550       11.373909       39.389999        8
ESO249-008       745700096      134.342010       15.385312       16.730000       20
ESO342-050     16600674304     1147.348877       21.449064       31.459999        4
ESO355-026      5412856832      593.201538       21.164577       31.540001        4
ESO358-051      1064213504      204.141663       17.217777       15.700000       10
ESO399-025     11576678400      930.649048       19.559587       33.860001       -5
ESO404-003      5435915264      274.868652       17.948967       31.670000        5
ESO404-012     27149711360      856.985657       21.927143       36.439999        3
ESO407-014     11063975936      371.814667       19.798805       40.450001        2
ESO420-009      1844402432      350.327820       21.927166       18.260000        5
ESO438-017      1211691648      185.490479       24.517204       16.639999        7
ESO443-069     12213614592      386.165466       13.450998       34.799999        8
ESO482-035      5947707904      290.990479       14.148758       27.340000        3
ESO486-021       242466816       84.697739       13.298159       11.110000       20
ESO508-024     14684160000      189.513275       10.547011       40.000000        4
ESO533-028      8549662720      214.074280       38.137501       34.369999        4
ESO541-004     13737488384      855.199341       15.675101       32.529999        3
ESO570-019      1066440192       51.134361       11.820413       17.840000        0
ESO572-018      3414733568      310.399658       19.290010       25.660000        3
ESO576-032     13351762944      977.822815       16.882511       29.100000        5
ESO580-030      7485826048      382.122925       15.025188       35.360001        5
    IC0167      3458603520      205.828186        7.907743       27.680000        6
    IC0529     19040436224     1016.495789       18.514994       33.669998        6
    IC0758      3784161792       93.510475        7.149073       26.700001        8
    IC0769     14864408576      345.834290       12.668190       42.610001        3
    IC0797      2690428928      269.894287        9.760028       18.200001        8
    IC0800     36640309248      164.600677        9.737972       68.599998        9
    IC0863      9845895168      833.791382       41.993488       33.590000        3
    IC1066      7798647296      442.140228       29.192125       32.380001        4
    IC1067      6444002304      621.694214       24.170666       21.030001        3
    IC1158     12582129664      671.548950       15.017974       35.299999        6
    IC1251       497975648      147.082428       11.206929       15.560000        9
    IC1438     34278371328      216.443390       23.255007       33.799999        0
    IC1447     20447993856      587.935791       28.982914       48.299999        4
    IC1954      9073768448     2191.345947       25.788954       15.290000        6
    IC1993      5308328960     1881.042969       21.562752       14.380000        2
    IC2007      4081336320      457.731262       32.776234       22.500000        9
    IC2051     34256576512     4045.564697       50.052471       23.889999        3
