# column 1: galaxy name
# column 2: survey tag
# column 3: product tag
# column 4: file name
ic1024 carma_atlas3d mom0 ../../data/co/atlas3d/IC1024.mom0.fits
ic1024 carma_atlas3d e_mom0 ../../data/co/atlas3d/IC1024.mom1.fits
ic1024 carma_atlas3d cube ../../data/co/atlas3d/IC1024.fits
ic676 carma_atlas3d mom0 ../../data/co/atlas3d/IC676.mom0.fits
ic676 carma_atlas3d e_mom0 ../../data/co/atlas3d/IC676.mom1.fits
ic676 carma_atlas3d cube ../../data/co/atlas3d/IC676.fits
ic719 carma_atlas3d mom0 ../../data/co/atlas3d/IC719.mom0.fits
ic719 carma_atlas3d e_mom0 ../../data/co/atlas3d/IC719.mom1.fits
ic719 carma_atlas3d cube ../../data/co/atlas3d/IC719.fits
ngc1222 carma_atlas3d mom0 ../../data/co/atlas3d/NGC1222.mom0.fits
ngc1222 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC1222.mom1.fits
ngc1222 carma_atlas3d cube ../../data/co/atlas3d/NGC1222.fits
ngc1266 carma_atlas3d mom0 ../../data/co/atlas3d/NGC1266.mom0.fits
ngc1266 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC1266.mom1.fits
ngc1266 carma_atlas3d cube ../../data/co/atlas3d/NGC1266.fits
ngc2697 carma_atlas3d mom0 ../../data/co/atlas3d/NGC2697.mom0.fits
ngc2697 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC2697.mom1.fits
ngc2697 carma_atlas3d cube ../../data/co/atlas3d/NGC2697.fits
ngc2764 carma_atlas3d mom0 ../../data/co/atlas3d/NGC2764.mom0.fits
ngc2764 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC2764.mom1.fits
ngc2764 carma_atlas3d cube ../../data/co/atlas3d/NGC2764.fits
ngc2768 carma_atlas3d mom0 ../../data/co/atlas3d/NGC2768.mom0.fits
ngc2768 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC2768.mom1.fits
ngc2824 carma_atlas3d mom0 ../../data/co/atlas3d/NGC2824.mom0.fits
ngc2824 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC2824.mom1.fits
ngc2824 carma_atlas3d cube ../../data/co/atlas3d/NGC2824.fits
ngc3032 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3032.mom0.fits
ngc3032 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3032.mom1.fits
ngc3182 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3182.mom0.fits
ngc3182 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3182.mom1.fits
ngc3182 carma_atlas3d cube ../../data/co/atlas3d/NGC3182.fits
ngc3489 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3489.mom0.fits
ngc3489 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3489.mom1.fits
ngc3607 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3607.mom0.fits
ngc3607 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3607.mom1.fits
ngc3607 carma_atlas3d cube ../../data/co/atlas3d/NGC3607.fits
ngc3619 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3619.mom0.fits
ngc3619 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3619.mom1.fits
ngc3619 carma_atlas3d cube ../../data/co/atlas3d/NGC3619.fits
ngc3626 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3626.mom0.fits
ngc3626 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3626.mom1.fits
ngc3626 carma_atlas3d cube ../../data/co/atlas3d/NGC3626.fits
ngc3665 carma_atlas3d mom0 ../../data/co/atlas3d/NGC3665.mom0.fits
ngc3665 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC3665.mom1.fits
ngc3665 carma_atlas3d cube ../../data/co/atlas3d/NGC3665.fits
ngc4119 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4119.mom0.fits
ngc4119 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4119.mom1.fits
ngc4119 carma_atlas3d cube ../../data/co/atlas3d/NGC4119.fits
ngc4150 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4150.mom0.fits
ngc4150 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4150.mom1.fits
ngc4150 carma_atlas3d cube ../../data/co/atlas3d/NGC4150.fits
ngc4292 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4292.mom0.fits
ngc4292 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4292.mom1.fits
ngc4292 carma_atlas3d cube ../../data/co/atlas3d/NGC4292.fits
ngc4324 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4324.mom0.fits
ngc4324 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4324.mom1.fits
ngc4324 carma_atlas3d cube ../../data/co/atlas3d/NGC4324.fits
ngc4429 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4429.mom0.fits
ngc4429 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4429.mom1.fits
ngc4429 carma_atlas3d cube ../../data/co/atlas3d/NGC4429.fits
ngc4435 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4435.mom0.fits
ngc4435 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4435.mom1.fits
ngc4435 carma_atlas3d cube ../../data/co/atlas3d/NGC4435.fits
ngc4459 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4459.mom0.fits
ngc4459 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4459.mom1.fits
ngc4476 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4476.mom0.fits
ngc4476 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4476.mom1.fits
ngc4477 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4477.mom0.fits
ngc4477 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4477.mom1.fits
ngc4526 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4526.mom0.fits
ngc4526 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4526.mom1.fits
ngc4550 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4550.mom0.fits
ngc4550 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4550.mom1.fits
ngc4694 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4694.mom0.fits
ngc4694 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4694.mom1.fits
ngc4694 carma_atlas3d cube ../../data/co/atlas3d/NGC4694.fits
ngc4710 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4710.mom0.fits
ngc4710 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4710.mom1.fits
ngc4710 carma_atlas3d cube ../../data/co/atlas3d/NGC4710.fits
ngc4753 carma_atlas3d mom0 ../../data/co/atlas3d/NGC4753.mom0.fits
ngc4753 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC4753.mom1.fits
ngc4753 carma_atlas3d cube ../../data/co/atlas3d/NGC4753.fits
ngc5173 carma_atlas3d mom0 ../../data/co/atlas3d/NGC5173.mom0.fits
ngc5173 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC5173.mom1.fits
ngc5173 carma_atlas3d cube ../../data/co/atlas3d/NGC5173.fits
ngc524 carma_atlas3d mom0 ../../data/co/atlas3d/NGC524.mom0.fits
ngc524 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC524.mom1.fits
ngc5379 carma_atlas3d mom0 ../../data/co/atlas3d/NGC5379.mom0.fits
ngc5379 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC5379.mom1.fits
ngc5379 carma_atlas3d cube ../../data/co/atlas3d/NGC5379.fits
ngc5866 carma_atlas3d mom0 ../../data/co/atlas3d/NGC5866.mom0.fits
ngc5866 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC5866.mom1.fits
ngc5866 carma_atlas3d cube ../../data/co/atlas3d/NGC5866.fits
ngc6014 carma_atlas3d mom0 ../../data/co/atlas3d/NGC6014.mom0.fits
ngc6014 carma_atlas3d e_mom0 ../../data/co/atlas3d/NGC6014.mom1.fits
ngc6014 carma_atlas3d cube ../../data/co/atlas3d/NGC6014.fits
ngc7465 carma_atlas3d mom0 ../../data/co/atlas3d/NGC7465.mom0.fits
