# column 1: galaxy name
# column 2: survey tag
# column 3: product tag
# column 4: file name
ngc0337 sting mom0 ../../data/co/sting/ngc0337.co.mmom0.fits
ngc0337 sting e_mom0 ../../data/co/sting/ngc0337.co.mmom0.nse.fits
ngc0337 sting cube ../../data/co/sting/ngc0337.co.cmmsk.fits
ngc0337 sting e_cube ../../data/co/sting/ngc0337.co.cmnse.fits
ngc0337 sting mom0 ../../data/co/sting/ngc0337.co.mmom0.nse.fits
ngc0337 sting e_mom0 ../../data/co/sting/ngc0337.co.mmom0.nse.fits
ngc0337 sting cube ../../data/co/sting/ngc0337.co.cmmsk.fits
ngc0337 sting e_cube ../../data/co/sting/ngc0337.co.cmnse.fits
ngc0772 sting mom0 ../../data/co/sting/ngc0772.co.mmom0.fits
ngc0772 sting e_mom0 ../../data/co/sting/ngc0772.co.mmom0.nse.fits
ngc0772 sting cube ../../data/co/sting/ngc0772.co.cmmsk.fits
ngc0772 sting e_cube ../../data/co/sting/ngc0772.co.cmnse.fits
ngc0772 sting mom0 ../../data/co/sting/ngc0772.co.mmom0.nse.fits
ngc0772 sting e_mom0 ../../data/co/sting/ngc0772.co.mmom0.nse.fits
ngc0772 sting cube ../../data/co/sting/ngc0772.co.cmmsk.fits
ngc0772 sting e_cube ../../data/co/sting/ngc0772.co.cmnse.fits
ngc1156 sting mom0 ../../data/co/sting/ngc1156.co.mmom0.fits
ngc1156 sting e_mom0 ../../data/co/sting/ngc1156.co.mmom0.nse.fits
ngc1156 sting cube ../../data/co/sting/ngc1156.co.cmmsk.fits
ngc1156 sting e_cube ../../data/co/sting/ngc1156.co.cmnse.fits
ngc1156 sting mom0 ../../data/co/sting/ngc1156.co.mmom0.nse.fits
ngc1156 sting e_mom0 ../../data/co/sting/ngc1156.co.mmom0.nse.fits
ngc1156 sting cube ../../data/co/sting/ngc1156.co.cmmsk.fits
ngc1156 sting e_cube ../../data/co/sting/ngc1156.co.cmnse.fits
ngc1569 sting mom0 ../../data/co/sting/ngc1569.co.mmom0.fits
ngc1569 sting e_mom0 ../../data/co/sting/ngc1569.co.mmom0.nse.fits
ngc1569 sting cube ../../data/co/sting/ngc1569.co.cmmsk.fits
ngc1569 sting e_cube ../../data/co/sting/ngc1569.co.cmnse.fits
ngc1569 sting mom0 ../../data/co/sting/ngc1569.co.mmom0.nse.fits
ngc1569 sting e_mom0 ../../data/co/sting/ngc1569.co.mmom0.nse.fits
ngc1569 sting cube ../../data/co/sting/ngc1569.co.cmmsk.fits
ngc1569 sting e_cube ../../data/co/sting/ngc1569.co.cmnse.fits
ngc1637 sting mom0 ../../data/co/sting/ngc1637.co.mmom0.fits
ngc1637 sting e_mom0 ../../data/co/sting/ngc1637.co.mmom0.nse.fits
ngc1637 sting cube ../../data/co/sting/ngc1637.co.cmmsk.fits
ngc1637 sting e_cube ../../data/co/sting/ngc1637.co.cmnse.fits
ngc1637 sting mom0 ../../data/co/sting/ngc1637.co.mmom0.nse.fits
ngc1637 sting e_mom0 ../../data/co/sting/ngc1637.co.mmom0.nse.fits
ngc1637 sting cube ../../data/co/sting/ngc1637.co.cmmsk.fits
ngc1637 sting e_cube ../../data/co/sting/ngc1637.co.cmnse.fits
ngc2681 sting mom0 ../../data/co/sting/ngc2681.co.mmom0.fits
ngc2681 sting e_mom0 ../../data/co/sting/ngc2681.co.mmom0.nse.fits
ngc2681 sting cube ../../data/co/sting/ngc2681.co.cmmsk.fits
ngc2681 sting e_cube ../../data/co/sting/ngc2681.co.cmnse.fits
ngc2681 sting mom0 ../../data/co/sting/ngc2681.co.mmom0.nse.fits
ngc2681 sting e_mom0 ../../data/co/sting/ngc2681.co.mmom0.nse.fits
ngc2681 sting cube ../../data/co/sting/ngc2681.co.cmmsk.fits
ngc2681 sting e_cube ../../data/co/sting/ngc2681.co.cmnse.fits
ngc2782 sting mom0 ../../data/co/sting/ngc2782.co.mmom0.fits
ngc2782 sting e_mom0 ../../data/co/sting/ngc2782.co.mmom0.nse.fits
ngc2782 sting cube ../../data/co/sting/ngc2782.co.cmmsk.fits
ngc2782 sting e_cube ../../data/co/sting/ngc2782.co.cmnse.fits
ngc2782 sting mom0 ../../data/co/sting/ngc2782.co.mmom0.nse.fits
ngc2782 sting e_mom0 ../../data/co/sting/ngc2782.co.mmom0.nse.fits
ngc2782 sting cube ../../data/co/sting/ngc2782.co.cmmsk.fits
ngc2782 sting e_cube ../../data/co/sting/ngc2782.co.cmnse.fits
ngc2976 sting mom0 ../../data/co/sting/ngc2976.co.mmom0.fits
ngc2976 sting e_mom0 ../../data/co/sting/ngc2976.co.mmom0.nse.fits
ngc2976 sting cube ../../data/co/sting/ngc2976.co.cmmsk.fits
ngc2976 sting e_cube ../../data/co/sting/ngc2976.co.cmnse.fits
ngc2976 sting mom0 ../../data/co/sting/ngc2976.co.mmom0.nse.fits
ngc2976 sting e_mom0 ../../data/co/sting/ngc2976.co.mmom0.nse.fits
ngc2976 sting cube ../../data/co/sting/ngc2976.co.cmmsk.fits
ngc2976 sting e_cube ../../data/co/sting/ngc2976.co.cmnse.fits
ngc3147 sting mom0 ../../data/co/sting/ngc3147.co.mmom0.fits
ngc3147 sting e_mom0 ../../data/co/sting/ngc3147.co.mmom0.nse.fits
ngc3147 sting cube ../../data/co/sting/ngc3147.co.cmmsk.fits
ngc3147 sting e_cube ../../data/co/sting/ngc3147.co.cmnse.fits
ngc3147 sting mom0 ../../data/co/sting/ngc3147.co.mmom0.nse.fits
ngc3147 sting e_mom0 ../../data/co/sting/ngc3147.co.mmom0.nse.fits
ngc3147 sting cube ../../data/co/sting/ngc3147.co.cmmsk.fits
ngc3147 sting e_cube ../../data/co/sting/ngc3147.co.cmnse.fits
ngc3198 sting mom0 ../../data/co/sting/ngc3198.co.mmom0.fits
ngc3198 sting e_mom0 ../../data/co/sting/ngc3198.co.mmom0.nse.fits
ngc3198 sting cube ../../data/co/sting/ngc3198.co.cmmsk.fits
ngc3198 sting e_cube ../../data/co/sting/ngc3198.co.cmnse.fits
ngc3198 sting mom0 ../../data/co/sting/ngc3198.co.mmom0.nse.fits
ngc3198 sting e_mom0 ../../data/co/sting/ngc3198.co.mmom0.nse.fits
ngc3198 sting cube ../../data/co/sting/ngc3198.co.cmmsk.fits
ngc3198 sting e_cube ../../data/co/sting/ngc3198.co.cmnse.fits
ngc3486 sting mom0 ../../data/co/sting/ngc3486.co.mmom0.fits
ngc3486 sting e_mom0 ../../data/co/sting/ngc3486.co.mmom0.nse.fits
ngc3486 sting cube ../../data/co/sting/ngc3486.co.cmmsk.fits
ngc3486 sting e_cube ../../data/co/sting/ngc3486.co.cmnse.fits
ngc3486 sting mom0 ../../data/co/sting/ngc3486.co.mmom0.nse.fits
ngc3486 sting e_mom0 ../../data/co/sting/ngc3486.co.mmom0.nse.fits
ngc3486 sting cube ../../data/co/sting/ngc3486.co.cmmsk.fits
ngc3486 sting e_cube ../../data/co/sting/ngc3486.co.cmnse.fits
ngc3593 sting mom0 ../../data/co/sting/ngc3593.co.mmom0.fits
ngc3593 sting e_mom0 ../../data/co/sting/ngc3593.co.mmom0.nse.fits
ngc3593 sting cube ../../data/co/sting/ngc3593.co.cmmsk.fits
ngc3593 sting e_cube ../../data/co/sting/ngc3593.co.cmnse.fits
ngc3593 sting mom0 ../../data/co/sting/ngc3593.co.mmom0.nse.fits
ngc3593 sting e_mom0 ../../data/co/sting/ngc3593.co.mmom0.nse.fits
ngc3593 sting cube ../../data/co/sting/ngc3593.co.cmmsk.fits
ngc3593 sting e_cube ../../data/co/sting/ngc3593.co.cmnse.fits
ngc3949 sting mom0 ../../data/co/sting/ngc3949.co.mmom0.fits
ngc3949 sting e_mom0 ../../data/co/sting/ngc3949.co.mmom0.nse.fits
ngc3949 sting cube ../../data/co/sting/ngc3949.co.cmmsk.fits
ngc3949 sting e_cube ../../data/co/sting/ngc3949.co.cmnse.fits
