#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC0448                 | UGC00801,PGC004524,NGC0448,MCG+00-04-060,CGCG385-051,6dFJ0115165-013734,2MIG0139,2MASXJ01151653-0137339                                                                                                                                                              |      4524 |  32.21 |  32.39 |    1.25459 |   -1.62624 |     1927 |       14 |      NaN |      NaN |     1874 |  114.6 |   90.0 |     0.32 |     0.03 | S0    |      |       |           |             |  -2.4 |   0.8 |     1.20 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.26 |  13.04 |    NaN |    NaN |    NaN |
  NGC0474                 | UGC00864,PGC004801,NGC0474,MCG+00-04-085,LGG020:[G93]002,CGCG385-071,ARP227,AGC000864,2MASXJ01200669+0324549                                                                                                                                                         |      4801 |  32.66 |  32.20 |    1.33519 |    3.41535 |     2372 |        5 |     2372 |       14 |     2342 |    NaN |   26.2 |     0.04 |     0.06 | S0    |      | R     | M         |             |  -2.0 |   0.4 |     1.42 |     0.04 | 158.40 |   9.29 | 358.18 |  26.08 |  15.85 |   0.30 |    NaN |   0.15 |  12.20 |   0.36 |   0.80 |  10.19 |
  NGC0502                 | UGC00922,PGC005034,NGC0502,MCG+01-04-043,LGG023:[G93]002,CGCG411-040,ARK038,2MASXJ01225553+0902570                                                                                                                                                                   |      5034 |  32.84 |    NaN |    1.38209 |    9.04917 |     2546 |       16 |      NaN |      NaN |     2543 |    NaN |   24.4 |     0.03 |     0.06 | S0    |      | R     |           |             |  -2.0 |   0.4 |     1.21 |     0.09 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.17 |  13.54 |   0.45 |   0.89 |    NaN |
  NGC0509                 | UGC00932,PGC005080,NGC0509,MCG+01-04-045,LGG023:[G93]011,CGCG411-043,2MASXJ01232407+0926004                                                                                                                                                                          |      5080 |  32.62 |    NaN |    1.39003 |    9.43349 |     2274 |       10 |      NaN |      NaN |     2273 |   81.3 |   90.0 |     0.37 |     0.06 | S0-a  | B    |       |           |             |  -1.3 |   1.7 |     1.20 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.20 |  14.38 |    NaN |    NaN |    NaN |
  NGC0516                 | UGC00946,PGC005148,NGC0516,MCG+01-04-048,LGG023:[G93]004,CGCG411-046,2MFGC01073,2MASXJ01240806+0933060                                                                                                                                                               |      5148 |  32.77 |    NaN |    1.40224 |    9.55171 |     2451 |       25 |      NaN |      NaN |     2451 |   44.5 |   90.0 |     0.54 |     0.05 | S0    | B    |       |           |             |  -1.5 |   1.5 |     1.21 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.29 |  13.92 |    NaN |    NaN |    NaN |
  NGC0525                 | UGC00972,PGC005232,NPM1G+09.0040,NGC0525,MCG+01-04-054,CGCG411-053,2MASXJ01245290+0942116                                                                                                                                                                            |      5232 |  31.86 |    NaN |    1.41469 |    9.70322 |     1624 |        8 |      NaN |      NaN |     1624 |    6.7 |   90.0 |     0.38 |     0.06 | S0    |      |       |           |             |  -2.0 |   0.4 |     1.18 |     0.07 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.38 |  14.13 |    NaN |    NaN |    NaN |
  NGC0524                 | UGC00968,PGC005222,NGC0524,MCG+01-04-053,LGG023:[G93]005,IRAS01221+0916,CGCG411-051,2MASXJ01244770+0932196                                                                                                                                                           |      5222 |  32.73 |  32.56 |    1.41325 |    9.53878 |     2423 |       37 |      NaN |      NaN |     2422 |    NaN |    5.5 |     0.00 |     0.04 | S0-a  |      |       |           |             |  -1.2 |   0.6 |     1.53 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.31 |   0.36 |  11.01 |   0.53 |   0.95 |    NaN |
  NGC0770                 | UGC01463,PGC007517,NGC0770,MCG+03-06-010,LGG040:[G93]001,CGCG461-016,2MASXJ01591364+1857169                                                                                                                                                                          |      7517 |  32.80 |    NaN |    1.98711 |   18.95462 |     2443 |       32 |     2419 |        6 |     2479 |   15.0 |   68.5 |     0.17 |     0.03 | E     |      |       |           |             |  -4.2 |   2.4 |     0.96 |     0.05 | 204.36 |  10.76 | 219.69 |  11.80 |  15.08 |   0.13 |    NaN |   0.31 |  13.89 |    NaN |    NaN |    NaN |
  NGC1222                 | PGC011774,NGC1222,MRK0603,MCG-01-09-005,LGG085:[G93]005,KUG0306-031,IRAS03064-0308,HIPASSJ0308-02,6dFJ0308567-025719,2MASXJ03085674-0257187                                                                                                                          |     11774 |  32.70 |    NaN |    3.14909 |   -2.95517 |     2454 |        6 |     2454 |        8 |     2365 |  153.0 |   67.8 |     0.22 |     0.06 | E-S0  |      |       | M         |             |  -2.6 |   1.8 |     1.20 |     0.08 | 119.95 |   5.90 | 129.54 |   6.56 |  15.10 |   0.18 |  10.53 |   0.26 |  12.85 |  -0.18 |   0.50 |  11.67 |
  NGC1248                 | PGC011970,NGC1248,MCG-01-09-016,LGG085:[G93]002,6dFJ0312486-051329,2MASXJ03124855-0513288                                                                                                                                                                            |     11970 |  32.47 |    NaN |    3.21349 |   -5.22470 |     2235 |       13 |      NaN |      NaN |     2134 |   95.8 |   34.2 |     0.06 |     0.02 | S0    |      |       |           |             |  -2.1 |   0.7 |     1.08 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.27 |  13.23 |   0.28 |   0.77 |  11.30 |
