#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  IC5376                  | UGC12909,PGC000102,MCG+06-01-007,KAZ239,IC5376,CGCG518-008,CGCG517-013,2MASXJ00011976+3431326                                                                                                                                                                                                                        |       102 |  34.39 |    NaN |    0.02216 |   34.52572 |     5032 |        2 |     5031 |        5 |     5176 |    4.0 |   90.0 |     0.57 |     0.03 | Sab   |      |       |           |             |   2.0 |   0.3 |     1.22 |     0.03 | 201.46 |   7.05 | 201.46 |    NaN |  15.59 |   0.08 |    NaN |   0.31 |  13.76 |    NaN |    NaN |    NaN |
  UGC00005                | UGC00005,PGC000205,MCG+00-01-021,KIG0001,IRAS00005-0211,CGCG382-021,6dFJ0003057-015450,2MIG0005,2MASXJ00030565-0154495                                                                                                                                                                                               |       205 |  35.13 |    NaN |    0.05157 |   -1.91384 |     7297 |        4 |     7286 |        7 |     7268 |   47.0 |   65.9 |     0.34 |     0.03 | Sbc   | B    |       |           |             |   3.9 |   0.6 |     1.14 |     0.04 | 210.83 |   6.82 | 230.92 |   7.53 |  15.59 |   0.09 |  13.03 |   0.17 |  13.45 |    NaN |    NaN |  12.09 |
  NGC7819                 | [BTW2003]J0004+3129,UGC00026,PGC000303,NPM1G+31.0003,NGC7819,MCG+05-01-029,LGG001:[G93]003,KUG0001+311,IRAS00018+3111,CGCG499-044,CGCG498-072,AGC000026,2MASXJ00042449+3128193                                                                                                                                       |       303 |  34.35 |    NaN |    0.07347 |   31.47203 |     4956 |        2 |     4956 |        4 |     5086 |   96.8 |   59.8 |     0.26 |     0.03 | Sb    | B    |       |           |             |   3.1 |   0.4 |     1.16 |     0.03 | 110.89 |   2.58 | 128.32 |   3.05 |  14.88 |   0.15 |  12.97 |   0.24 |  13.61 |  -0.13 |   0.52 |    NaN |
  UGC00029                | UGC00029,PGC000313,NPM1G+28.0002,MCG+05-01-030,CGCG499-046,CGCG498-074,2MASXJ00043373+2818059                                                                                                                                                                                                                        |       313 |  35.57 |    NaN |    0.07604 |   28.30164 |     8785 |       10 |      NaN |      NaN |     8901 |  174.2 |   68.4 |     0.14 |     0.02 | E     |      |       |           | C           |  -4.8 |   0.5 |     1.09 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.23 |  14.68 |    NaN |    NaN |    NaN |
  NGC7824                 | UGC00034,PGC000354,NPM1G+06.0001,NGC7824,MCG+01-01-025,CGCG408-025,AGC000034,2MASXJ00050624+0655122                                                                                                                                                                                                                  |       354 |  34.77 |    NaN |    0.08507 |    6.92006 |     6138 |        5 |     6138 |        7 |     6152 |  150.9 |   52.1 |     0.18 |     0.03 | Sab   |      |       |           |             |   2.0 |   0.5 |     1.20 |     0.04 | 227.51 |   9.43 | 288.23 |  12.18 |  16.65 |   0.42 |    NaN |   0.22 |  13.87 |    NaN |    NaN |  11.52 |
  UGC00036                | UGC00036,PGC000366,MCG+01-01-026,CGCG408-026,AGC000036,2MASXJ00051390+0646192                                                                                                                                                                                                                                        |       366 |  34.81 |    NaN |    0.08718 |    6.77195 |     6291 |        6 |     6292 |        6 |     6304 |   17.2 |   72.2 |     0.36 |     0.03 | Sa    |      | R     |           |             |   1.0 |   0.4 |     1.17 |     0.04 | 236.83 |   7.56 | 248.72 |   8.01 |  16.78 |   0.19 |    NaN |   0.23 |  14.09 |    NaN |    NaN |  12.23 |
  NGC0023                 | [BTW2003]J0010+2557,UGC00089,PGC000698,NGC0023,MRK0545,MCG+04-01-033,LGG002:[G93]003,KUG0007+256,IRAS00073+2538,CGCG478-034,CGCG477-062,AGC000089,2MASXJ00095341+2555254                                                                                                                                             |       698 |  34.15 |  33.55 |    0.16484 |   25.92372 |     4560 |        5 |     4566 |        3 |     4663 |  174.9 |   40.5 |     0.10 |     0.02 | Sa    | B    |       |           |             |   1.2 |   0.5 |     1.19 |     0.04 | 184.82 |   4.38 | 284.73 |   7.13 |  15.43 |   0.12 |  10.75 |   0.17 |  12.51 |    NaN |   0.72 |  10.73 |
  NGC0036                 | UGC00106,PGC000798,NGC0036,MCG+01-01-043,IRAS00088+0606,HIPASSJ0011+06,CGCG408-040,AGC000106,2MASXJ00112231+0623212                                                                                                                                                                                                  |       798 |  34.72 |    NaN |    0.18953 |    6.38922 |     6029 |        5 |     6029 |        4 |     6038 |   14.8 |   54.6 |     0.21 |     0.06 | SABb  | B    |       |           |             |   3.0 |   0.5 |     1.33 |     0.06 | 206.80 |   6.36 | 253.75 |   8.15 |  15.17 |   0.10 |  13.28 |   0.29 |  13.75 |    NaN |    NaN |  11.50 |
  UGC00148                | UGC00148,SDSSJ001551.29+160523.3,SDSSJ001550.75+160520.7,PGC001051,MCG+03-01-034,KUG0013+158,IRAS00132+1548,CGCG456-048,AGC000148,2MFGC00190,2MASXJ00155127+1605232                                                                                                                                                  |      1051 |  33.93 |    NaN |    0.26419 |   16.08952 |     4162 |       12 |     4206 |        4 |     4216 |  100.0 |   77.1 |     0.51 |     0.03 | Sbc   |      |       |           |             |   4.3 |   1.6 |     1.19 |     0.04 | 141.91 |   4.47 | 145.57 |   4.60 |  15.28 |   0.15 |  12.16 |   0.27 |  14.64 |    NaN |    NaN |  14.97 |
  PGC001841               | [RC2]A0027-11,SDSSJ003007.31-110649.0,PGC969882,PGC001841,MCG-02-02-030,LGG008:[G93]001,IRAS00275-1123,6dFJ0030073-110649,2MASXJ00300730-1106491                                                                                                                                                                     |      1841 |  33.49 |    NaN |    0.50203 |  -11.11362 |     3525 |        5 |     3512 |        6 |     3441 |  170.7 |   72.1 |     0.36 |     0.02 | Sa    | B    | R     |           |             |   1.2 |   1.1 |     1.27 |     0.03 | 143.42 |   6.86 | 150.73 |   7.24 |  15.64 |   0.09 |  13.23 |   0.14 |  13.29 |    NaN |    NaN |  12.12 |
  UGC00312                | UGC00312,PGC001921,MCG+01-02-019,HCG002A,CGCG409-028,AGC000312,2MASXJ00312389+0828003                                                                                                                                                                                                                                |      1921 |  34.01 |  33.73 |    0.52330 |    8.46675 |     4364 |        6 |     4366 |        5 |     4376 |    7.8 |   78.9 |     0.34 |     0.02 | SBd   | B    | R     | M         |             |   8.0 |   2.0 |     1.17 |     0.03 | 120.89 |   6.10 | 123.18 |   6.25 |  14.67 |   0.17 |    NaN |   0.16 |  13.12 |    NaN |    NaN |    NaN |
  ESO539-014              | RFGC0122,PGC001926,MCG-03-02-019,FGC0058,ESOLV5390140,ESO539-014,AGC020349,6dFJ0031282-194541,2MFGC00364,2MASXJ00312819-1945407                                                                                                                                                                                      |      1926 |  35.03 |    NaN |    0.52450 |  -19.76127 |     7093 |        7 |     7094 |        6 |     6969 |    0.3 |   90.0 |     0.96 |     0.02 | Scd   |      |       |           |             |   6.7 |   0.7 |     1.25 |     0.02 | 153.44 |   2.69 | 153.44 |    NaN |  15.70 |   0.09 |    NaN |   0.09 |  13.92 |    NaN |    NaN |  13.93 |
  PGC001932               | SDSSJ003135.80-103022.9,PGC001932,MCG-02-02-040,IRAS00290-1046,HIPASSJ0031-10,AGC400261,6dFJ0031357-103023,2MFGC00367,2MASXJ00313571-1030228                                                                                                                                                                         |      1932 |  33.54 |    NaN |    0.52659 |  -10.50632 |     3580 |        4 |     3571 |        5 |     3499 |   49.7 |   69.8 |     0.39 |     0.02 | SBbc  | B    | R     | M         |             |   3.8 |   1.1 |     1.17 |     0.03 | 136.04 |   2.19 | 144.96 |   2.37 |  13.70 |   0.19 |  12.29 |   0.14 |  13.62 |    NaN |    NaN |  12.77 |
  NGC0155                 | SDSSJ003440.08-104559.6,SDSSJ003440.08-104559.5,SDSSJ003440.07-104559.4,PGC002076,NPM1G-11.0022,NGC0155,MCG-02-02-055,2MASXJ00344011-1045593                                                                                                                                                                         |      2076 |  34.74 |    NaN |    0.57781 |  -10.76652 |     6190 |        2 |      NaN |      NaN |     6106 |  169.8 |   34.8 |     0.06 |     0.03 | S0    |      |       |           |             |  -2.2 |   0.8 |     1.17 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.12 |  13.84 |    NaN |    NaN |  11.94 |
  ESO540-003              | PGC845995,PGC002138,MCG-03-02-022,HIPASSJ0035-20,ESOLV5400030,ESO540-003,6dFJ0035395-200731,2MASXJ00353947-2007310                                                                                                                                                                                                   |      2138 |  33.33 |    NaN |    0.59430 |  -20.12530 |     3294 |        9 |     3291 |        4 |     3167 |  154.4 |   66.9 |     0.34 |     0.03 | SABb  | B    | R     |           |             |   2.9 |   0.6 |     1.17 |     0.04 | 150.14 |   4.22 | 163.27 |   4.63 |  14.12 |   0.09 |    NaN |   0.12 |  13.29 |    NaN |    NaN |  12.04 |
  NGC0160                 | UGC00356,PGC002154,NGC0160,MCG+04-02-033,CGCG479-043,AGC000356,2MASXJ00360404+2357283                                                                                                                                                                                                                                |      2154 |  34.45 |    NaN |    0.60112 |   23.95762 |     5253 |        4 |     5253 |        3 |     5338 |   45.7 |   76.0 |     0.35 |     0.03 | S0-a  |      | R     |           |             |  -0.4 |   1.0 |     1.30 |     0.03 | 254.70 |   6.80 | 262.44 |   7.09 |  16.00 |   0.14 |    NaN |   0.15 |  13.34 |    NaN |   0.81 |  11.25 |
  NGC0169                 | UGC00365,PGC002202,NGC0169,MCG+04-02-035,KPG013A,IRAS00342+2342,CGCG479-044:,ARP282:,AGC000365,2MASXJ00365161+2359273                                                                                                                                                                                                |      2202 |  34.17 |    NaN |    0.61434 |   23.99092 |     4617 |       17 |     4621 |        4 |     4703 |   92.5 |   69.8 |     0.36 |     0.03 | Sab   |      |       | M         |             |   2.5 |   0.7 |     1.19 |     0.04 | 275.34 |  10.77 | 293.42 |  11.56 |  15.49 |   0.21 |  12.84 |   0.13 |  12.97 |    NaN |    NaN |  11.39 |
  NGC0171                 | VV791A,PGC002232,NGC0175,NGC0171,MCG-03-02-024,IRAS00348-2012,HIPASSJ0037-19,ESOLV5400060,ESO540-006,6dFJ0037215-195603,2MIG0073,2MASXJ00372152-1956032                                                                                                                                                              |      2232 |  33.69 |    NaN |    0.62265 |  -19.93427 |     3884 |       17 |     3908 |        6 |     3757 |  101.9 |   54.4 |     0.20 |     0.04 | Sab   | B    | R     | M         |             |   2.2 |   0.5 |     1.31 |     0.03 |  56.33 |   2.29 |  69.31 |   2.89 |  15.50 |   0.19 |  13.27 |   0.09 |  12.58 |   0.06 |   0.64 |  11.04 |
  NGC0177                 | PGC812498,PGC002241,NGC0177,MCG-04-02-028,ESOLV4740060,ESO474-006,DUKST474-002,2MFGC00446,2MASXJ00373433-2232573                                                                                                                                                                                                     |      2241 |  33.66 |    NaN |    0.62621 |  -22.54926 |     3839 |       11 |     3836 |        6 |     3701 |    9.9 |   90.0 |     0.62 |     0.02 | Sab   |      | R     |           |             |   1.7 |   0.6 |     1.32 |     0.03 | 187.55 |   8.63 | 187.55 |    NaN |  15.32 |   0.09 |    NaN |   0.10 |  13.37 |    NaN |    NaN |  11.95 |
  NGC0180                 | UGC00380,PGC002268,NGC0180,MCG+01-02-039,IRAS00353+0821,HIPASSJ0037+08,CGCG409-050,AGC000380,ADBSJ003751+0838,2MIG0076,2MASXJ00375769+0838068                                                                                                                                                                        |      2268 |  34.44 |    NaN |    0.63269 |    8.63522 |     5279 |        4 |     5279 |        4 |     5289 |  163.2 |   49.1 |     0.17 |     0.04 | Sc    | B    |       |           |             |   4.6 |   0.9 |     1.34 |     0.03 | 163.90 |   3.37 | 216.98 |   4.73 |  15.12 |   0.15 |  12.74 |   0.24 |  13.43 |    NaN |    NaN |    NaN |
  NGC0216                 | PGC833497,PGC002478,NGC0216,MCG-04-02-035,IRAS00389-2119,HIPASSJ0041-21,ESOLV5400150,ESO540-015,6dFJ0041269-210253,2MFGC00501,2MASXJ00412688-2102529                                                                                                                                                                 |      2478 |  31.58 |  30.30 |    0.69080 |  -21.04806 |     1536 |        7 |     1538 |        6 |     1403 |   26.9 |   84.2 |     0.33 |     0.03 | S0    | B    |       |           |             |  -1.7 |   0.9 |     1.13 |     0.05 |  69.62 |   2.66 |  69.98 |   2.70 |  14.23 |   0.19 |    NaN |   0.09 |  13.60 |  -0.13 |   0.42 |  11.99 |
  NGC0214                 | UGC00438,PGC002479,NGC0214,MCG+04-02-044,IRAS00387+2513,CGCG479-059,AGC000438,2MASXJ00412801+2529576                                                                                                                                                                                                                 |      2479 |  34.13 |  33.80 |    0.69111 |   25.49933 |     4536 |        4 |     4536 |        4 |     4627 |   42.1 |   47.2 |     0.16 |     0.03 | SABc  | B    | R     |           |             |   5.0 |   0.6 |     1.27 |     0.02 | 163.63 |   3.73 | 222.99 |   5.33 |  15.43 |   0.11 |  12.06 |   0.16 |  12.49 |   0.06 |   0.62 |  11.04 |
  NGC0217                 | SDSSJ004133.89-100117.1,PGC002482,NGC0217,MCG-02-02-085,LGG008:[G93]004,IRAS00390-1017,AGC400343,6dFJ0041339-100117,2MFGC00504,2MASXJ00413390-1001169                                                                                                                                                                |      2482 |  33.73 |    NaN |    0.69275 |  -10.02143 |     3934 |        3 |     3946 |        6 |     3852 |  112.8 |   90.0 |     0.67 |     0.02 | SBa   | B    |       |           |             |   0.7 |   1.5 |     1.50 |     0.03 | 271.27 |  10.02 | 271.27 |    NaN |  15.80 |   0.09 |    NaN |   0.15 |  12.70 |    NaN |    NaN |  11.32 |
