#!! request processed by HyperLeda Mon Feb 17 21:38:51 2014
#!! Number of lines in uploaded file: 185
#                  name                  |     logd25      |    e_logd25     |
#! # Column 1: name   <No cross identification found>
#! #    <No cross identification found>
bk3n                                    |   0.389         |    0.418        |
ddo006                                  |   1.212         |    0.031        |
ddo043                                  |   1.132         |    0.052        |
ddo046                                  |   1.232         |    0.058        |
ddo047                                  |   1.638         |    0.046        |
ddo050                                  |   1.899         |    0.024        |
ddo052                                  |   1.273         |    0.071        |
ddo053                                  |   0.903         |    0.069        |
ddo063                                  |   1.523         |    0.029        |
ddo069                                  |   1.663         |    0.031        |
ddo082                                  |   1.517         |    0.046        |
ddo087                                  |   1.392         |     0.06        |
ddo099                                  |   1.602         |    0.039        |
ddo101                                  |   1.262         |    0.062        |
ddo125                                  |   1.585         |    0.042        |
ddo126                                  |    1.55         |    0.044        |
ddo133                                  |     1.8         |    0.028        |
ddo154                                  |   1.278         |    0.052        |
ddo155                                  |   0.984         |    0.042        |
ddo165                                  |   1.525         |    0.034        |
ddo167                                  |   1.002         |    0.061        |
ddo168                                  |    1.54         |    0.033        |
ddo181                                  |   1.364         |     0.05        |
ddo183                                  |   1.319         |    0.048        |
ddo187                                  |    1.01         |    0.048        |
ddo190                                  |   1.207         |    0.034        |
ddo210                                  |   1.333         |     0.06        |
ddo216                                  |   1.672         |     0.03        |
holmbergi                               |   1.523         |    0.029        |
holmbergii                              |   1.899         |    0.024        |
ic10                                    |   1.825         |    0.027        |
ic1613                                  |   2.263         |    0.021        |
ic2574                                  |   2.111         |    0.018        |
ic342                                   |   2.296         |    0.018        |
kdg73                                   |   0.778         |    0.223        |
kkh86                                   |   0.612         |    0.285        |
kkh98                                   |                 |                 |
kkr03                                   |   0.778         |    0.223        |
lgs3                                    |   1.079         |    0.143        |
lsbcd564-08                             |   0.793         |    0.167        |
maffei2                                 |   0.843         |    0.155        |
mcg+09-20-131                           |    0.78         |    0.065        |
mrk178                                  |   1.066         |    0.063        |
ngc0024                                 |   1.791         |    0.024        |
ngc0247                                 |   2.294         |    0.012        |
ngc0253                                 |   2.428         |    0.013        |
ngc0337                                 |   1.465         |    0.028        |
ngc0404                                 |   1.532         |    0.028        |
ngc0584                                 |   1.578         |    0.026        |
ngc0628                                 |   1.995         |    0.017        |
ngc0772                                 |    1.66         |    0.026        |
ngc0855                                 |   1.468         |    0.049        |
ngc0925                                 |    2.03         |    0.017        |
ngc1068                                 |   1.786         |    0.022        |
ngc1097                                 |   2.024         |    0.015        |
ngc1156                                 |   1.472         |     0.03        |
ngc1266                                 |   1.169         |    0.035        |
ngc1291                                 |   2.048         |    0.018        |
ngc1316                                 |   2.129         |    0.022        |
ngc1377                                 |   1.317         |    0.042        |
ngc1404                                 |     1.7         |     0.03        |
ngc1482                                 |   1.391         |    0.024        |
ngc1512                                 |   1.926         |    0.022        |
ngc1569                                 |   1.592         |    0.031        |
ngc1637                                 |   1.502         |    0.023        |
ngc2146                                 |   1.725         |    0.022        |
ngc2366                                 |    1.64         |    0.024        |
ngc2403                                 |     2.3         |    0.024        |
ngc2681                                 |   1.599         |    0.035        |
ngc2782                                 |   1.512         |    0.034        |
ngc2798                                 |   1.385         |    0.048        |
ngc2841                                 |   1.839         |    0.023        |
ngc2903                                 |   2.077         |    0.016        |
ngc2915                                 |   1.259         |    0.038        |
ngc2976                                 |   1.761         |    0.022        |
ngc3031                                 |   2.335         |    0.014        |
ngc3034                                 |   2.041         |    0.022        |
ngc3049                                 |   1.324         |    0.027        |
ngc3077                                 |   1.717         |    0.028        |
ngc3109                                 |   2.204         |    0.014        |
ngc3147                                 |   1.614         |    0.039        |
ngc3184                                 |   1.869         |     0.02        |
ngc3190                                 |   1.561         |    0.022        |
ngc3198                                 |    1.81         |    0.021        |
ngc3265                                 |   0.985         |     0.09        |
ngc3344                                 |   1.826         |     0.02        |
ngc3351                                 |   1.859         |     0.02        |
ngc3368                                 |   1.917         |    0.025        |
ngc3486                                 |   1.765         |    0.023        |
ngc3521                                 |    1.92         |    0.024        |
ngc3593                                 |   1.671         |    0.026        |
ngc3621                                 |   1.991         |    0.015        |
ngc3627                                 |   2.012         |    0.025        |
ngc3631                                 |    1.57         |    0.027        |
ngc3726                                 |   1.722         |    0.025        |
ngc3738                                 |   1.355         |    0.031        |
ngc3741                                 |   0.974         |    0.052        |
ngc3773                                 |   1.089         |    0.043        |
ngc3938                                 |    1.55         |    0.028        |
ngc3949                                 |   1.354         |    0.029        |
ngc3953                                 |   1.788         |    0.022        |
ngc3992                                 |   1.907         |    0.035        |
ngc4051                                 |   1.689         |    0.033        |
ngc4102                                 |   1.468         |    0.051        |
ngc4151                                 |   1.459         |    0.038        |
ngc4163                                 |   1.214         |    0.032        |
ngc4190                                 |   1.187         |    0.032        |
ngc4192                                 |   2.043         |    0.019        |
ngc4212                                 |   1.447         |    0.027        |
ngc4214                                 |   1.832         |    0.025        |
ngc4236                                 |   2.371         |    0.017        |
ngc4254                                 |   1.702         |    0.029        |
ngc4258                                 |    2.23         |    0.016        |
ngc4273                                 |    1.34         |     0.03        |
ngc4303                                 |   1.838         |    0.019        |
ngc4321                                 |   1.785         |    0.022        |
ngc4402                                 |   1.546         |    0.023        |
ngc4414                                 |    1.29         |    0.035        |
ngc4419                                 |    1.59         |    0.041        |
ngc4449                                 |   1.668         |    0.028        |
ngc4450                                 |   1.737         |    0.019        |
ngc4490                                 |   1.827         |    0.036        |
ngc4501                                 |   1.937         |    0.026        |
ngc4504                                 |   1.502         |    0.028        |
ngc4535                                 |   1.911         |    0.023        |
ngc4536                                 |    1.85         |    0.019        |
ngc4548                                 |   1.744         |    0.026        |
ngc4559                                 |   2.024         |    0.021        |
ngc4569                                 |    1.96         |    0.023        |
ngc4579                                 |     1.7         |    0.023        |
ngc4594                                 |   1.927         |    0.018        |
ngc4605                                 |   1.769         |    0.017        |
ngc4625                                 |   1.145         |    0.037        |
ngc4631                                 |    2.16         |    0.023        |
ngc4654                                 |   1.674         |    0.023        |
ngc4689                                 |   1.582         |    0.025        |
ngc4699                                 |   1.601         |    0.037        |
ngc4725                                 |   1.987         |    0.021        |
ngc4736                                 |   1.889         |    0.026        |
