                  name                  |      vmaxg      |     e_vmaxg     |      vrad       |     e_vrad      |
ddo053                                  | nan             | nan             | 19              | 5.5             |
ddo154                                  | 36.99           | 0.95            | 375.3           | 3               |
hoii                               	| 23.38           | 0.41            | 158             | 1.9             |
hoi                               	| 12.74           | 0.25            | 140.3           | 2.3             |
ic2574                                  | 46.66           | 1.11            | 46.2            | 3.2             |
m81dwa					| 9.4             | 0.63            | 112.7           | 4.5             |
m81dwb                               	| 19.4            | 0.75            | 346.4           | 4.5             |
ngc0628                                 | 21.76           | 0.5             | 656.1           | 2.4             |
ngc0925                                 | 89.66           | 1.76            | 551.9           | 2.2             |
ngc1569                                 | 36.13           | 1.43            | -103            | 4.8             |
ngc2366                                 | 38.47           | 0.85            | 99.4            | 2.2             |
ngc2403                                 | 105.57          | 2.36            | 129.4           | 2.7             |
ngc2841                                 | 295.32          | 6.5             | 635.1           | 2.8             |
ngc2903                                 | 173.8           | 3.7             | 555.3           | 2.6             |
ngc2976                                 | 50.95           | 2.08            | 5.8             | 5.3             |
ngc3031                                 | 191.8           | 6.26            | -38.4           | 3.1             |
ngc3034					| 63.9		  | 3.3		    | 221	      |	4		|
ngc3077                                 | 21.96           | 0.66            | 14.5            | 4.8             |
ngc3184                                 | 51.37           | 1.33            | 593.2           | 2.8             |
ngc3198                                 | 139.3           | 3.29            | 661.4           | 2.9             |
ngc3351                                 | 117.08          | 3.94            | 777.7           | 2.6             |
ngc3521                                 | 212.34          | 4.37            | 800.6           | 3.5             |
ngc3621                                 | 119.87          | 2.64            | 728.3           | 4.5             |
ngc3627                                 | 161.61          | 3.78            | 720.1           | 2.7             |
ngc4214                                 | 28.46           | 0.78            | 291.1           | 2.7             |
ngc4236					| 68.1		  | 1.6		    | 3		      | 4		|
ngc4449                                 | 52.44           | 1.77            | 204.4           | 4               |
ngc4736                                 | 95.72           | 2.85            | 309             | 4.4             |
ngc4826                                 | 133.38          | 3.96            | 409             | 3.4             |
ngc5055                                 | 178.64          | 4.18            | 509.5           | 3.3             |
ngc5194                                 | 70.08           | 1.74            | 463.7           | 3.9             |
ngc5236                                 | 118.53          | 2.44            | 507.9           | 3.4             |
ngc5457                                 | 75.8            | 1.69            | 237.9           | 2.7             |
ngc6946                                 | 98.6            | 2.32            | 42.4            | 3.5             |
ngc7331                                 | 237.13          | 3.92            | 818.1           | 2.4             |
ngc7793                                 | 76.71           | 1.57            | 228.5           | 3.9             |
ngc0337                                 | 106.72          | 2.14            | 1649.8          | 3.9             |
ngc2146                                 | 177.36          | 6.23            | 900.8           | 6.3             |
ngc2798                                 | 153.35          | 5.95            | 1742.6          | 5.5             |
ngc3049                                 | 87.11           | 2.61            | 1494.9          | 3.9             |
ngc3190                                 | 195.97          | 10.1            | 1313.3          | 5.2             |
ngc3938                                 | 38.99           | 1.36            | 809.4           | 3.3             |
ngc4254                                 | 102.52          | 2.17            | 2406            | 3.2             |
ngc4321                                 | 112.51          | 2.14            | 1576.7          | 3.2             |
ngc4536                                 | 147.86          | 2.99            | 1801.8          | 2.6             |
ngc4559					| 102.6		  | 2.4		    | 815	      |	3		|
ngc4569                                 | 161.81          | 6.76            | -233.5          | 5.6             |
ngc4579                                 | 165.59          | 6.32            | 1517            | 5.7             |
ngc4594                                 | 352.22          | 9.08            | 1090.2          | 5.7             |
ngc4625                                 | 27.87           | 0.91            | 610.1           | 3.7             |
ngc4631                                 | 138.37          | 3.58            | 600.6           | 3.3             |
ngc4725                                 | 183.29          | 4.37            | 1208.5          | 2.8             |
ngc5474                                 | 17.23           | 0.38            | 274.6           | 2.5             |
ngc5713                                 | 80.36           | 1.34            | 1898.9          | 3.7             |
ddo165                                  | 18.32           | 0.78            | 34.2            | 7.4             |
