#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  PGC000143               | [RC2]A2359-15,WLM,UGCA444,PGC000143,MCG-03-01-015,HIPASSJ0001-15,DDO221,2MASSJ00015816-1527397                                                                                                                                                                                                                                                      |       143 |    NaN |  24.94 |    0.03283 |  -15.46090 |     -111 |       16 |     -125 |        3 |     -205 |    5.0 |   90.0 |     0.47 |     0.03 | IB    | B    |       |           |             |   9.9 |   0.3 |     2.02 |     0.02 |  26.16 |   0.92 |  26.16 |    NaN |  11.85 |   0.12 |  14.07 |   0.16 |  10.01 |    NaN |   0.29 |    NaN |
  NGC0024                 | UGCA002,PGC000701,NGC0024,MCG-04-01-018,IRAS00074-2514,IRAS00073-2514,HIPASSJ0009-24,ESOLV4720160,ESO472-016,AGC020114,6dFJ0009562-245752,2MIG0019,2MFGC00135,2MASXJ00095654-2457472                                                                                                                                                                |       701 |    NaN |  29.32 |    0.16565 |  -24.96377 |      554 |        2 |      553 |        3 |      414 |   44.2 |   70.1 |     0.41 |     0.03 | Sc    |      |       |           |             |   5.1 |   0.4 |     1.79 |     0.02 |  88.05 |   1.29 |  93.64 |   1.39 |  13.59 |   0.11 |  12.64 |   0.08 |  11.30 |  -0.14 |   0.48 |  10.25 |
  NGC0017                 | VV850,PGC000781,NGC0034,NGC0017,MRK0938,MCG-02-01-032,IRAS00085-1223,6dFJ0011066-120628,2MASXJ00110661-1206283                                                                                                                                                                                                                                      |       781 |  34.63 |    NaN |    0.18515 |  -12.10769 |     5890 |       56 |     5931 |       12 |     5808 |   31.5 |   90.0 |     0.47 |     0.03 | S0-a  |      |       |           |             |  -1.0 |   2.0 |     1.06 |     0.06 | 234.53 |  24.41 | 234.53 |    NaN |  14.95 |   0.39 |  10.27 |   0.12 |  14.12 |    NaN |    NaN |  12.18 |
  NGC0045                 | [PDS2002]0430,UGCA004,PGC000930,NGC0045,MCG-04-01-021,IRAS00115-2327,HIPASSJ0014-23,GLXYG055.9-80.7+458,ESOLV4730010,ESO473-001,DDO223,6dFJ0014041-231050,2MIG0023,2MASXJ00140398-2310555                                                                                                                                                           |       930 |    NaN |  29.11 |    0.23444 |  -23.18183 |      466 |        2 |      468 |        2 |      332 |  158.7 |   50.0 |     0.14 |     0.03 | SABd  | B    |       |           |             |   7.8 |   0.7 |     1.79 |     0.02 |  74.63 |   1.34 |  97.41 |   1.88 |  12.00 |   0.15 |  12.34 |   0.09 |  11.04 |  -0.09 |   0.66 |    NaN |
  NGC0047                 | PGC000967,NGC0058,NGC0047,MCG-01-01-055,IRAS00119-0726,HIPASSJ0014-07,AGC400160,2MASXJ00143065-0710028,2MASXJ00143062-0710026                                                                                                                                                                                                                       |       967 |  34.57 |    NaN |    0.24187 |   -7.16720 |     5698 |        5 |     5697 |        4 |     5639 |   85.2 |   37.3 |     0.09 |     0.03 | SBbc  | B    |       |           |             |   4.0 |   0.5 |     1.13 |     0.05 |  91.15 |   3.01 | 150.44 |   5.26 |  15.76 |   0.09 |  13.06 |   0.15 |  13.65 |    NaN |    NaN |  11.72 |
  NGC0050                 | PGC000983,NGC0050,MCG-01-01-058,6dFJ0014446-072042,2MASXJ00144460-0720430,2MASXJ00144455-0720423                                                                                                                                                                                                                                                    |       983 |  34.54 |    NaN |    0.24572 |   -7.34514 |     5602 |       61 |     5670 |       12 |     5542 |  153.7 |   76.8 |     0.24 |     0.03 | E-S0  |      |       |           |             |  -3.1 |   0.6 |     1.31 |     0.04 |  61.77 |   4.11 |  63.44 |   4.26 |  16.45 |   0.09 |    NaN |   0.16 |  12.66 |    NaN |    NaN |  10.73 |
  NGC0055                 | PGC001014,NGC0055,MCG-07-01-013,LGG004:[G93]001,IRAS00125-3928,HIPASSJ0015-39,ESOLV2930500,ESO293-050,DUKST293-001,2MASXJ00145360-3911478                                                                                                                                                                                                           |      1014 |    NaN |  26.62 |    0.24822 |  -39.19658 |      129 |        1 |      129 |        4 |      -69 |  101.0 |   90.0 |     0.99 |     0.04 | SBm   | B    |       |           |             |   8.8 |   0.8 |     2.48 |     0.01 |  58.71 |   1.64 |  58.71 |    NaN |   9.03 |   0.20 |   8.32 |   0.06 |   6.54 |  -0.04 |   0.33 |    NaN |
  IC0010                  | ZOAG118.97-03.31,UGC00192,PGC001305,MCG+10-01-001,IRAS00177+5900,IC0010                                                                                                                                                                                                                                                                             |      1305 |    NaN |  24.50 |    0.33975 |   59.29310 |     -345 |        2 |     -346 |        2 |     -115 |  129.0 |   31.1 |     0.05 |     0.04 | IB    | B    |       | M         |             |   9.9 |   0.6 |     1.82 |     0.03 |  27.31 |   0.62 |  52.83 |   1.50 |  11.37 |   0.11 |   9.29 |   6.74 |    NaN |  -0.66 |   0.10 |    NaN |
  NGC0100                 | UGC00231,RFGC0095,PGC001525,NGC0100,MCG+03-02-009,HIPASSJ0024+16,FGC0042,EONJ006.012+16.487,EGISJ002403.0+162914,CGCG457-012,AGC000231,2MFGC00282,2MASXJ00240283+1629110                                                                                                                                                                            |      1525 |  30.60 |  31.31 |    0.40081 |   16.48681 |      838 |        3 |      842 |        2 |      892 |   55.5 |   90.0 |     0.86 |     0.03 | Sc    |      |       |           |             |   5.8 |   0.5 |     1.55 |     0.03 |  93.77 |   1.62 |  93.77 |    NaN |  13.60 |   0.07 |    NaN |   0.26 |  12.16 |  -0.14 |   0.42 |  12.19 |
  NGC0115                 | PGC001651,NGC0115,MCG-06-02-006,LGG007:[G93]001,HIPASSJ0026-33,ESOLV3500170,ESO350-017,AGC020302,6dFJ0026463-334038,2MASXJ00264631-3340381,2MASXJ00264627-3340375                                                                                                                                                                                   |      1651 |  31.92 |  32.29 |    0.44622 |  -33.67694 |     1829 |        2 |     1829 |        3 |     1648 |  122.2 |   74.4 |     0.46 |     0.03 | SBbc  | B    |       |           |             |   3.9 |   0.8 |     1.32 |     0.03 |  94.85 |   1.09 |  98.46 |   1.14 |  14.38 |   0.08 |    NaN |   0.06 |  12.90 |    NaN |    NaN |  12.51 |
  NGC0134                 | PGC001851,NGC0134,MCG-06-02-012,LGG007:[G93]003,IRAS00278-3331,HIPASSJ0030-33,ESOLV3500230,ESO350-023,DUKST350-001,AGC020329,6dFJ0030219-331438,2MASXJ00302189-3314432                                                                                                                                                                              |      1851 |  31.58 |  31.25 |    0.50608 |  -33.24406 |     1583 |        2 |     1584 |        4 |     1403 |   49.9 |   90.0 |     0.67 |     0.03 | SABb  | B    |       |           |             |   4.0 |   0.1 |     1.92 |     0.02 | 220.22 |   2.42 | 220.22 |    NaN |  12.46 |   0.11 |   9.69 |   0.08 |  10.09 |   0.09 |   0.69 |   9.19 |
