#!! request processed by HyperLeda Mon Feb 17 21:11:54 2014
#!! Number of lines in uploaded file: 185
#                  name                  |      type       |       bar       |      ring       |    multiple     |   compactness   |        t        |       e_t       |
bk3n                                    |  I              |                 |                 |                 |                 | 10              |   2             |
ddo006                                  |  IB             | B               |                 |                 |                 | 9.8             | 0.6             |
ddo043                                  |  IB             | B               |                 |                 | D               | 9.8             |   1             |
ddo046                                  |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ddo047                                  |  IB             | B               |                 |                 | D               | 9.9             | 0.4             |
ddo050                                  |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ddo052                                  |  I              |                 |                 |                 |                 | 9.8             | 0.5             |
ddo053                                  |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ddo063                                  |  IAB            | B               |                 |                 | D               | 9.9             | 0.3             |
ddo069                                  |  IB             | B               |                 |                 |                 | 9.9             | 0.3             |
ddo082                                  |  Sm             |                 |                 |                 | D               | 8.8             | 0.5             |
ddo087                                  |  I              |                 |                 |                 |                 | 9.8             | 0.5             |
ddo099                                  |  I              |                 |                 |                 | D               | 9.9             | 0.4             |
ddo101                                  |  I              |                 |                 |                 | D               | 9.7             | 0.7             |
ddo125                                  |  I              |                 |                 |                 | D               | 9.8             | 0.9             |
ddo126                                  |  I              | B               |                 |                 | D               | 9.9             | 0.4             |
ddo133                                  |  IB             | B               |                 |                 | D               | 9.9             | 0.4             |
ddo154                                  |  I              | B               |                 |                 | D               | 9.9             | 0.4             |
ddo155                                  |  I              |                 |                 |                 |                 | 9.8             | 0.6             |
ddo165                                  |  I              |                 |                 |                 | D               | 9.9             | 0.4             |
ddo167                                  |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ddo168                                  |  I              | B               |                 |                 |                 | 9.9             | 0.4             |
ddo181                                  |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ddo183                                  |  IB             | B               |                 |                 | D               | 9.8             | 0.9             |
ddo187                                  |  IAB            | B               |                 |                 | D               | 9.9             | 0.4             |
ddo190                                  |  I              |                 |                 |                 |                 | 9.9             | 0.4             |
ddo210                                  |  IB             | B               |                 |                 |                 | 9.9             | 0.6             |
ddo216                                  |  I              |                 |                 |                 |                 | 9.8             | 0.5             |
holmbergi                               |  IAB            | B               |                 |                 | D               | 9.9             | 0.3             |
holmbergii                              |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ic10                                    |  IB             | B               |                 | M               |                 | 9.9             | 0.6             |
ic1613                                  |  I              | B               |                 |                 |                 | 9.9             | 0.3             |
ic2574                                  |  SABm           | B               |                 |                 |                 | 8.9             | 0.3             |
ic342                                   |  SABc           | B               |                 |                 |                 | 6               | 0.3             |
kdg73                                   |  I              |                 |                 |                 |                 | 10              |   2             |
kkh86                                   |  I              |                 |                 |                 |                 | 10              |   1             |
kkh98                                   |  I              |                 |                 |                 | D               | 10              | 0.9             |
kkr03                                   |  I              |                 |                 |                 |                 | 10              | 0.8             |
lgs3                                    |  S0-a           |                 |                 |                 |                 | -1              |   2             |
lsbcd564-08                             |  I              |                 |                 |                 | D               | 10              |   1             |
maffei2                                 |  Sbc            | B               |                 |                 |                 | 4               | 0.6             |
mcg+09-20-131                           |  I              |                 |                 |                 | D               | 10              |   2             |
mrk178                                  |  I              |                 |                 | M               |                 | 9.9             | 0.4             |
ngc0024                                 |  Sc             |                 |                 |                 |                 | 5.1             | 0.4             |
ngc0247                                 |  SABc           | B               |                 |                 |                 | 6.9             | 0.5             |
ngc0253                                 |  SABc           | B               |                 |                 |                 | 5.1             | 0.4             |
ngc0337                                 |  SBcd           | B               |                 |                 |                 | 6.7             | 0.8             |
ngc0404                                 |  E-S0           |                 |                 |                 |                 | -2.8            | 0.7             |
ngc0584                                 |  E              |                 |                 |                 |                 | -4.7            | 0.9             |
ngc0628                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.5             |
ngc0772                                 |  Sb             |                 |                 |                 |                 | 3.1             | 0.4             |
ngc0855                                 |  E              |                 |                 |                 |                 | -4.8            | 0.7             |
ngc0925                                 |  Scd            | B               |                 |                 |                 | 7               | 0.3             |
ngc1068                                 |  Sb             |                 |                 |                 |                 | 3               | 0.3             |
ngc1097                                 |  SBb            | B               | R               |                 |                 | 3.3             | 0.5             |
ngc1156                                 |  IB             | B               |                 |                 |                 | 9.8             | 0.5             |
ngc1266                                 |  S0             | B               |                 |                 |                 | -2.3            |   1             |
ngc1291                                 |  S0-a           | B               | R               |                 |                 | 0.1             | 0.4             |
ngc1316                                 |  S0             | B               |                 |                 |                 | -1.8            | 0.7             |
ngc1377                                 |  S0             |                 |                 |                 |                 | -2.1            | 0.7             |
ngc1404                                 |  E              |                 |                 |                 |                 | -4.8            | 0.5             |
ngc1482                                 |  S0-a           |                 |                 |                 |                 | -0.8            | 0.9             |
ngc1512                                 |  Sa             | B               | R               |                 |                 | 1.1             | 0.5             |
ngc1569                                 |  IB             | B               |                 |                 |                 | 9.6             |   1             |
ngc1637                                 |  Sc             | B               |                 |                 |                 | 5               | 0.4             |
ngc2146                                 |  SBab           | B               |                 | M               |                 | 2.3             | 0.7             |
ngc2366                                 |  IB             | B               |                 |                 |                 | 9.8             | 0.6             |
ngc2403                                 |  SABc           | B               |                 |                 |                 | 6               | 0.3             |
ngc2681                                 |  S0-a           | B               |                 |                 |                 | 0.4             | 0.6             |
ngc2782                                 |  SABa           | B               |                 |                 |                 | 1.1             | 0.4             |
ngc2798                                 |  SBa            | B               |                 | M               |                 | 1.1             | 0.4             |
ngc2841                                 |  Sb             |                 | R               |                 |                 | 3               | 0.4             |
ngc2903                                 |  SABb           | B               |                 |                 |                 | 4               | 0.1             |
ngc2915                                 |  SBab           | B               |                 |                 |                 | 1.6             | 3.7             |
ngc2976                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.6             |
ngc3031                                 |  Sab            |                 |                 |                 |                 | 2.4             | 0.6             |
ngc3034                                 |  Scd            |                 |                 |                 |                 | 7.5             |   4             |
ngc3049                                 |  SBb            | B               | R               |                 |                 | 2.5             | 0.7             |
ngc3077                                 |  S?             |                 |                 |                 |                 | 7.2             |   5             |
ngc3109                                 |  SBm            | B               |                 |                 |                 | 9.1             | 0.4             |
ngc3147                                 |  Sbc            |                 |                 |                 |                 | 3.9             | 0.5             |
ngc3184                                 |  SABc           | B               |                 |                 |                 | 5.9             | 0.3             |
ngc3190                                 |  Sa             |                 |                 |                 |                 | 0.9             | 0.6             |
ngc3198                                 |  Sc             | B               | R               |                 |                 | 5.2             | 0.6             |
ngc3265                                 |  E              |                 |                 |                 |                 | -4.8            | 0.4             |
ngc3344                                 |  Sbc            | B               | R               |                 |                 | 4               | 0.3             |
ngc3351                                 |  Sb             | B               | R               |                 |                 | 3.1             | 0.4             |
ngc3368                                 |  SABa           | B               | R               |                 |                 | 2.2             | 0.7             |
ngc3486                                 |  Sc             | B               | R               |                 |                 | 5.2             | 0.7             |
ngc3521                                 |  SABb           | B               |                 |                 |                 | 4               | 0.2             |
ngc3593                                 |  S0-a           |                 |                 |                 |                 | -0.4            | 0.9             |
ngc3621                                 |  SBcd           | B               |                 |                 |                 | 6.9             | 0.5             |
ngc3627                                 |  SABb           | B               |                 | M               |                 | 3.1             | 0.4             |
ngc3631                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.5             |
ngc3726                                 |  Sc             | B               | R               |                 |                 | 5.1             | 0.6             |
ngc3738                                 |  I              |                 |                 |                 |                 | 9.8             | 0.7             |
ngc3741                                 |  I              |                 |                 |                 |                 | 9.9             | 0.4             |
ngc3773                                 |  S0             |                 |                 |                 | C               | -2              | 0.4             |
ngc3938                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.5             |
ngc3949                                 |  Sbc            |                 |                 |                 |                 | 4               | 0.1             |
ngc3953                                 |  Sbc            | B               | R               |                 |                 | 4               | 0.2             |
ngc3992                                 |  Sbc            | B               |                 |                 |                 | 4               | 0.2             |
ngc4051                                 |  SABb           | B               |                 |                 |                 | 4               | 0.1             |
ngc4102                                 |  SABb           | B               | R               |                 |                 | 3.1             | 0.5             |
ngc4151                                 |  SABa           | B               | R               |                 |                 | 2               | 0.5             |
ngc4163                                 |  I              |                 |                 |                 |                 | 9.9             | 0.3             |
ngc4190                                 |  IB             | B               |                 |                 |                 | 9.9             | 0.3             |
ngc4192                                 |  SABb           | B               |                 |                 |                 | 2.6             | 0.8             |
ngc4212                                 |  Sc             |                 |                 |                 |                 | 4.9             | 0.8             |
ngc4214                                 |  I              | B               |                 |                 |                 | 9.8             | 0.5             |
ngc4236                                 |  SBd            | B               |                 |                 |                 | 8               | 0.3             |
ngc4254                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.6             |
ngc4258                                 |  SABb           | B               |                 |                 |                 | 4               | 0.2             |
ngc4273                                 |  Sc             | B               |                 |                 |                 | 5.2             | 0.5             |
ngc4303                                 |  Sbc            | B               | R               |                 |                 | 4               | 0.1             |
ngc4321                                 |  SABb           | B               |                 |                 |                 | 4.1             | 0.3             |
ngc4402                                 |  Sb             |                 |                 |                 |                 | 3.3             | 0.8             |
ngc4414                                 |  Sc             |                 |                 |                 |                 | 5.2             | 0.6             |
ngc4419                                 |  Sa             | B               |                 |                 |                 | 1.2             | 0.9             |
ngc4449                                 |  IB             | B               |                 |                 |                 | 9.8             | 0.5             |
ngc4450                                 |  Sab            |                 |                 |                 |                 | 2.4             | 0.7             |
ngc4490                                 |  SBcd           | B               |                 | M               |                 | 7               | 0.2             |
ngc4501                                 |  Sb             |                 |                 |                 |                 | 3.3             | 0.7             |
ngc4504                                 |  SABc           | B               |                 |                 |                 | 6               | 0.6             |
ngc4535                                 |  Sc             | B               |                 |                 |                 | 5               | 0.4             |
ngc4536                                 |  SABb           | B               |                 |                 |                 | 4.3             | 0.7             |
ngc4548                                 |  Sb             | B               | R               |                 |                 | 3.1             | 0.5             |
ngc4559                                 |  Sc             | B               |                 |                 |                 | 6               | 0.4             |
ngc4569                                 |  SABa           | B               |                 |                 |                 | 2.4             | 0.7             |
ngc4579                                 |  SABb           | B               |                 |                 |                 | 2.9             | 0.6             |
ngc4594                                 |  Sa             |                 |                 |                 |                 | 1.1             | 0.3             |
ngc4605                                 |  SBc            | B               |                 |                 |                 | 5.1             | 0.7             |
ngc4625                                 |  SABm           | B               | R               | M               |                 | 8.8             | 0.7             |
ngc4631                                 |  SBcd           | B               |                 |                 |                 | 6.6             | 0.7             |
ngc4654                                 |  Sc             | B               | R               |                 |                 | 5.9             | 0.4             |
ngc4689                                 |  Sc             |                 |                 |                 |                 | 4.7             | 0.9             |
ngc4699                                 |  SABb           | B               |                 |                 |                 | 2.9             | 0.4             |
ngc4725                                 |  SABa           | B               | R               |                 |                 | 2.2             | 0.6             |
ngc4736                                 |  Sab            |                 | R               |                 |                 | 2.4             | 0.7             |
ngc4789a                                |  I              | B               |                 |                 | D               | 9.9             | 0.4             |
ngc4826                                 |  Sab            |                 |                 |                 |                 | 2.3             | 0.5             |
ngc5005                                 |  SABb           | B               |                 |                 |                 | 4               | 0.2             |
ngc5033                                 |  Sc             |                 |                 |                 |                 | 5.1             | 0.8             |
ngc5055                                 |  Sbc            |                 |                 |                 |                 | 4               | 0.2             |
ngc5194                                 |  Sbc            |                 |                 | M               |                 | 4               | 0.3             |
ngc5236                                 |  Sc             | B               |                 |                 |                 | 5               | 0.3             |
ngc5247                                 |  SABb           | B               |                 |                 |                 | 4.1             | 0.3             |
ngc5248                                 |  SABb           | B               |                 |                 |                 | 4               | 0.3             |
ngc5371                                 |  Sbc            | B               |                 |                 |                 | 4               | 0.2             |
ngc5398                                 |  Sd             | B               |                 |                 |                 | 7.9             | 0.8             |
ngc5408                                 |  IB             | B               |                 |                 |                 | 9.9             | 0.5             |
ngc5457                                 |  SABc           | B               |                 | M               |                 | 6               | 0.3             |
ngc5474                                 |  Sc             |                 |                 | M               |                 | 6.1             | 0.5             |
ngc5713                                 |  SABb           | B               |                 | M               |                 | 4               | 0.3             |
ngc5866                                 |  S0-a           |                 |                 |                 |                 | -1.2            | 0.6             |
ngc6217                                 |  Sbc            | B               | R               |                 |                 | 4               | 0.2             |
ngc6503                                 |  Sc             |                 |                 |                 |                 | 5.8             | 0.5             |
ngc6822                                 |  IB             | B               |                 |                 |                 | 9.8             | 0.4             |
ngc6946                                 |  SABc           | B               |                 |                 |                 | 5.9             | 0.3             |
ngc6951                                 |  SABb           | B               |                 |                 |                 | 3.9             | 0.6             |
ngc7331                                 |  Sbc            |                 |                 |                 |                 | 3.9             | 0.3             |
ngc7793                                 |  Scd            |                 |                 |                 |                 | 7.4             | 0.6             |
pgc023521                               |  I              |                 |                 |                 |                 | 10              | 1.4             |
pgc029284                               |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
pgc29194                                |  IAB            | B               |                 |                 |                 | 10              | 0.4             |
sagdig                                  |  IB             | B               |                 |                 |                 | 10              | 0.4             |
sextansa                                |  IB             | B               |                 |                 |                 | 9.9             | 0.5             |
sextansb                                |  IB             | B               |                 |                 |                 | 9.9             | 0.3             |
ugc2855                                 |  SABc           | B               |                 |                 | D               | 5               | 0.5             |
ugc4305                                 |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ugc4483                                 |  I              |                 |                 | M               |                 | 9.8             | 0.5             |
ugc5139                                 |  IAB            | B               |                 |                 | D               | 9.9             | 0.3             |
ugc5336                                 |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ugc5423                                 |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ugc5720                                 |  I              |                 |                 |                 |                 | 9.9             | 0.3             |
ugc7950                                 |  I              |                 |                 |                 |                 | 9.9             | 0.4             |
ugc8201                                 |  I              |                 |                 |                 | D               | 9.9             | 0.4             |
ugc8508                                 |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
ugc8833                                 |  IAB            | B               |                 |                 |                 | 9.9             | 0.4             |
ugca281                                 |  I              |                 |                 |                 |                 | 10              |   2             |
ugca292                                 |  I              |                 |                 |                 |                 | 9.9             | 0.5             |
viizw403                                |  I              |                 |                 |                 |                 | 10              |   2             |
wlm                                     |  IB             | B               |                 |                 |                 | 9.9             | 0.3             |
