#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  UGC12893                | UGC12893,PGC000038,MCG+03-01-011,CGCG456-014,AGC012893,2MASXJ00002847+1713130                                                                                                                                                                                                                                                                       |        38 |  31.18 |    NaN |    0.00792 |   17.22027 |     1104 |        3 |     1104 |        5 |     1170 |    NaN |   29.5 |     0.05 |     0.03 | Sd    |      |       |           | D           |   8.4 |   0.8 |     1.06 |     0.06 |  32.39 |   1.04 |  65.80 |   2.41 |  16.61 |   0.15 |    NaN |   0.15 |  15.12 |    NaN |    NaN |    NaN |
  PGC000143               | [RC2]A2359-15,WLM,UGCA444,PGC000143,MCG-03-01-015,HIPASSJ0001-15,DDO221,2MASSJ00015816-1527397                                                                                                                                                                                                                                                      |       143 |    NaN |  24.94 |    0.03283 |  -15.46090 |     -111 |       16 |     -125 |        3 |     -205 |    5.0 |   90.0 |     0.47 |     0.03 | IB    | B    |       |           |             |   9.9 |   0.3 |     2.02 |     0.02 |  26.16 |   0.92 |  26.16 |    NaN |  11.85 |   0.12 |  14.07 |   0.16 |  10.01 |    NaN |   0.29 |    NaN |
  ESO012-014              | PGC227922,PGC000181,HIPASSJ0002-80,ESOLV0120140,ESO012-014                                                                                                                                                                                                                                                                                          |       181 |  31.97 |    NaN |    0.04511 |  -80.34825 |     1959 |        3 |     1959 |        5 |     1676 |   23.4 |   90.0 |     0.56 |     0.02 | SBm   | B    |       |           |             |   9.0 |   0.3 |     1.18 |     0.03 |  42.31 |   1.52 |  42.31 |    NaN |  14.07 |   0.17 |    NaN |   0.41 |  13.72 |    NaN |    NaN |  14.77 |
  NGC7817                 | UGC00019,PGC1635017,PGC000279,NGC7817,MCG+03-01-021,KIG0004,IRAS00014+2028,CGCG456-028,AGC000019,2MFGC00053,2MASXJ00035889+2045084                                                                                                                                                                                                                  |       279 |  32.70 |  32.23 |    0.06635 |   20.75233 |     2310 |        2 |     2310 |        3 |     2391 |   46.1 |   90.0 |     0.65 |     0.03 | Sbc   |      |       |           |             |   4.1 |   0.4 |     1.52 |     0.02 | 192.33 |   4.43 | 192.33 |    NaN |  14.76 |   0.09 |  11.10 |   0.25 |  11.54 |    NaN |    NaN |  10.54 |
  ESO409-015              | PGC170645,PGC170644,PGC000388,MCG-05-01-031,HIPASSJ0005-28,ESOLV4090150,ESO409-015,6dFJ0005319-280554                                                                                                                                                                                                                                               |       388 |  29.67 |  29.70 |    0.09219 |  -28.09834 |      732 |        6 |      733 |        7 |      580 |  137.1 |   66.4 |     0.36 |     0.03 | Sc    |      |       | M         |             |   5.4 |   2.2 |     1.02 |     0.04 |  22.28 |   1.23 |  24.32 |   1.35 |  15.33 |   0.19 |    NaN |   0.07 |  14.43 |    NaN |    NaN |  14.40 |
  ESO293-034              | [RC2]A0003-41,PGC575188,PGC000474,MCG-07-01-009,HIPASSJ0006-41,ESOLV2930340,ESO293-034,2MFGC00088,2MASXJ00061991-4129596                                                                                                                                                                                                                            |       474 |  31.45 |  31.60 |    0.10552 |  -41.49999 |     1512 |        6 |     1514 |        6 |     1309 |   15.9 |   74.6 |     0.50 |     0.03 | SBc   | B    |       | M         |             |   6.2 |   0.6 |     1.40 |     0.03 | 109.56 |   3.80 | 113.62 |   3.96 |  14.06 |   0.13 |    NaN |   0.07 |  12.66 |    NaN |    NaN |  11.26 |
  NGC0007                 | PGC000627,NGC0007,MCG-05-01-037,HIPASSJ0008-29,ESOLV4090220,ESO409-022,DUKST409-001,AGC020097,6dFJ0008210-295454                                                                                                                                                                                                                                    |       627 |  31.45 |  31.57 |    0.13913 |  -29.91522 |     1499 |        3 |     1498 |        4 |     1339 |   23.2 |   86.6 |     0.67 |     0.02 | Sc    | B    |       |           |             |   4.8 |   0.7 |     1.39 |     0.02 |  76.50 |   1.31 |  76.63 |   1.31 |  14.57 |   0.08 |    NaN |   0.06 |  13.19 |  -0.29 |   0.36 |  12.88 |
  IC1532                  | PGC323371,PGC000695,IC1532,HIPASSJ0009-64,ESOLV0780170,ESO078-017,AGC020112                                                                                                                                                                                                                                                                         |       695 |  31.81 |    NaN |    0.16464 |  -64.37161 |     1834 |        9 |     1832 |       10 |     1570 |   73.5 |   79.1 |     0.53 |     0.02 | SBbc  | B    |       |           |             |   4.0 |   0.4 |     1.26 |     0.03 |  73.18 |   1.61 |  74.52 |   1.64 |  15.59 |   0.23 |    NaN |   0.09 |  13.85 |    NaN |    NaN |  13.35 |
  NGC0024                 | UGCA002,PGC000701,NGC0024,MCG-04-01-018,IRAS00074-2514,IRAS00073-2514,HIPASSJ0009-24,ESOLV4720160,ESO472-016,AGC020114,6dFJ0009562-245752,2MIG0019,2MFGC00135,2MASXJ00095654-2457472                                                                                                                                                                |       701 |    NaN |  29.32 |    0.16565 |  -24.96377 |      554 |        2 |      553 |        3 |      414 |   44.2 |   70.1 |     0.41 |     0.03 | Sc    |      |       |           |             |   5.1 |   0.4 |     1.79 |     0.02 |  88.05 |   1.29 |  93.64 |   1.39 |  13.59 |   0.11 |  12.64 |   0.08 |  11.30 |  -0.14 |   0.48 |  10.25 |
  UGC00099                | UGC00099,PGC000757,MCG+02-01-023,HIPASSJ0010+13,AGC000099                                                                                                                                                                                                                                                                                           |       757 |  32.07 |    NaN |    0.17798 |   13.70944 |     1739 |        2 |     1739 |        3 |     1784 |    NaN |    0.0 |     0.00 |     0.05 | Sm    |      |       |           |             |   8.8 |   0.5 |     1.40 |     0.06 |  34.30 |   0.97 |    NaN |    NaN |  15.33 |   0.11 |    NaN |   0.29 |  15.04 |    NaN |    NaN |  13.30 |
