#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC0024                 | UGCA002,PGC000701,NGC0024,MCG-04-01-018,IRAS00074-2514,IRAS00073-2514,HIPASSJ0009-24,ESOLV4720160,ESO472-016,AGC020114,6dFJ0009562-245752,2MIG0019,2MFGC00135,2MASXJ00095654-2457472                                                                             |       701 |    NaN |  29.32 |    0.16565 |  -24.96377 |      554 |        2 |      553 |        3 |      414 |   44.2 |   70.1 |     0.41 |     0.03 | Sc    |      |       |           |             |   5.1 |   0.4 |     1.79 |     0.02 |  88.05 |   1.29 |  93.64 |   1.39 |  13.59 |   0.11 |  12.64 |   0.08 |  11.30 |  -0.14 |   0.48 |  10.25 |
  NGC0925                 | [TT2009]03,[BTW2003]J0227+3334,UGC01913,PGC009332,NGC0925,MCG+05-06-045,KUG0224+333,KIG0105,IRAS02243+3321,CGCG504-085,AGC001913,2MASXJ02271691+3334439                                                                                                          |      9332 |  29.94 |  29.82 |    2.45469 |   33.57900 |      554 |        3 |      552 |        2 |      655 |  107.2 |   58.7 |     0.27 |     0.03 | Scd   | B    |       |           |             |   7.0 |   0.3 |     2.03 |     0.02 |  89.63 |   1.65 | 104.89 |   1.99 |  11.76 |   0.09 |  10.58 |   0.33 |   9.78 |    NaN |   0.44 |   9.34 |
  NGC1097                 | UGCA041,PGC010488,NGC1097,MRC0244-304,MCG-05-07-024,LGG075:[G93]003,IRAS02441-3029,HIPASSJ0246-30,ESOLV4160200,ESO416-020,ARP077,AGC420247,2MASXJ02461905-3016296                                                                                                |     10488 |  31.03 |  30.84 |    2.77197 |  -30.27505 |     1269 |        8 |     1271 |        3 |     1066 |  138.2 |   55.0 |     0.21 |     0.03 | SBb   | B    | R     |           |             |   3.3 |   0.5 |     2.02 |     0.01 | 180.03 |   1.87 | 219.90 |   2.41 |  12.48 |   0.10 |   8.82 |   0.12 |   9.69 |   0.17 |   0.68 |   8.15 |
  NGC1266                 | PGC012131,NGC1266,MCG-01-09-023,IRAS03134-0236,6dFJ0316007-022538,2MASXJ03160074-0225385                                                                                                                                                                         |     12131 |  32.43 |    NaN |    3.26688 |   -2.42735 |     2195 |       15 |      NaN |      NaN |     2107 |  102.9 |   58.2 |     0.17 |     0.02 | S0    | B    |       |           |             |  -2.3 |   1.0 |     1.17 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  10.60 |   0.43 |  13.87 |    NaN |    NaN |  11.45 |
  NGC1377                 | PGC013324,NGC1377,MCG-04-09-033,LGG097:[G93]023,IRAS03344-2103,ESOLV5480510,ESO548-051,6dFJ0336391-205407,2MASXJ03363907-2054081                                                                                                                                 |     13324 |  31.86 |    NaN |    3.61085 |  -20.90201 |     1786 |       16 |      NaN |      NaN |     1611 |   92.2 |   90.0 |     0.34 |     0.04 | S0    |      |       |           |             |  -2.1 |   0.7 |     1.32 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  11.27 |   0.12 |  13.34 |    NaN |    NaN |  11.49 |
  NGC1482                 | PGC014084,NGC1482,MCG-03-10-054,IRAS03524-2038,ESOLV5490330,ESO549-033,6dFJ0354389-203008,2MASXJ03543892-2030088                                                                                                                                                 |     14084 |  31.97 |    NaN |    3.91081 |  -20.50234 |     1860 |        4 |     1859 |        8 |     1684 |  107.3 |   63.2 |     0.24 |     0.02 | S0-a  |      |       |           |             |  -0.8 |   0.9 |     1.39 |     0.02 | 108.51 |   7.42 | 121.57 |   8.38 |  15.55 |   0.31 |   9.48 |   0.17 |  12.88 |  -0.02 |   0.86 |  10.88 |
  NGC1512                 | PGC014391,NGC1512,MCG-07-09-007,LGG108:[G93]003,IRAS04022-4329,HIPASSJ0403-43,ESOLV2500040,ESO250-004,AGC023162,2MASXJ04035428-4320558                                                                                                                           |     14391 |  29.94 |  30.40 |    4.06508 |  -43.34879 |      898 |       12 |      899 |        3 |      643 |   63.1 |   68.3 |     0.32 |     0.04 | Sa    | B    | R     |           |             |   1.1 |   0.5 |     1.93 |     0.02 | 109.98 |   1.25 | 118.35 |   1.39 |  12.51 |   0.14 |  11.56 |   0.05 |  10.75 |   0.11 |   0.73 |   9.16 |
  NGC1705                 | PGC016282,NGC1705,LOG122,IRAS04531-5326,HIPASSJ0454-53,ESOLV1580130,ESO158-013,6dFJ0454135-532139,2MIG0638,2MASXJ04541350-5321398,2MASSJ04541345-5321393                                                                                                         |     16282 |    NaN |  28.79 |    4.90375 |  -53.36103 |      629 |        5 |      631 |        4 |      350 |   53.1 |   48.4 |     0.11 |     0.03 | E-S0  |      |       |           |             |  -2.7 |   0.8 |     1.27 |     0.03 |  58.42 |   2.19 |  78.08 |   3.06 |  14.49 |   0.17 |  13.15 |   0.04 |  12.75 |  -0.46 |   0.36 |  11.78 |
  UGC04459                | [RC2]A0829+66,VV499,UGC04459,PGC024050,MCG+11-11-013,DDO053,CGCG311-008,7ZW238                                                                                                                                                                                   |     24050 |    NaN |  27.79 |    8.56847 |   66.18000 |       24 |        3 |       19 |        3 |      261 |  114.1 |   52.6 |     0.16 |     0.03 | I     |      |       |           |             |   9.9 |   0.5 |     0.90 |     0.07 |   7.45 |   0.35 |   9.37 |   0.45 |  14.42 |   0.28 |    NaN |   0.16 |  14.30 |  -0.50 |   0.30 |    NaN |
  NGC2915                 | [PDS2002]1375,PGC026761,NGC2915,IRAS09265-7624,HIPASSJ0926-76,GLXYG292.0-18.4+458,ESOLV0370030,ESO037-003,6dFJ0926124-763737,2MASXJ09261153-7637347                                                                                                              |     26761 |    NaN |  28.16 |    9.43661 |  -76.62648 |      465 |        3 |      467 |        4 |      181 |  132.3 |   62.2 |     0.27 |     0.03 | SBab  | B    |       |           |             |   1.6 |   3.7 |     1.26 |     0.04 |  66.54 |   2.24 |  75.23 |   2.57 |  12.36 |   0.16 |  13.25 |   1.19 |  11.70 |  -0.42 |   0.25 |  10.98 |
  NGC2976                 | UGC05221,PGC028120,NGC2976,MCG+11-12-025,LGG176:[G93]002,KUG0943+681,IRAS09431+6809,IRAS09431+6808,HIJASSJ0947+67,CGCG312-023,2MASXJ09471545+6754589                                                                                                             |     28120 |    NaN |  27.77 |    9.78764 |   67.91626 |        5 |        3 |        4 |        4 |      255 |  143.0 |   60.5 |     0.28 |     0.04 | Sc    |      |       |           |             |   5.2 |   1.1 |     1.76 |     0.02 |  50.95 |   2.08 |  58.55 |   2.42 |  13.54 |   0.13 |    NaN |   0.31 |  10.02 |  -0.09 |   0.54 |   9.05 |
  IC2574                  | UGC05666,PGC030819,MCG+12-10-038,LGG176:[G93]004,IRAS10251+6843,IC2574,HIJASSJ1029+68,DDO081,CGCG333-031,7ZW330,2MASXJ10282348+6824437                                                                                                                           |     30819 |    NaN |  28.01 |   10.47319 |   68.41209 |       46 |        4 |       46 |        3 |      303 |   48.4 |   83.0 |     0.36 |     0.05 | SABm  | B    |       |           |             |   8.9 |   0.3 |     2.11 |     0.02 |  46.55 |   0.95 |  46.91 |   0.98 |  11.33 |   0.13 |  11.68 |   0.16 |  10.00 |    NaN |   0.33 |    NaN |
  NGC3621                 | UGCA232,PGC034554,NGC3621,MCG-05-27-008,IRAS11159-3235,IRAS11158-3232,HIPASSJ1118-32,ESOLV3770370,ESO377-037,AGC027831,6dFJ1118165-324851,2MASXJ11181630-3248453                                                                                                 |     34554 |  29.67 |  29.13 |   11.30458 |  -32.81404 |      730 |        2 |      730 |        3 |      579 |  161.2 |   67.5 |     0.39 |     0.03 | SBcd  | B    |       |           |             |   6.9 |   0.5 |     1.99 |     0.01 | 121.59 |   2.35 | 131.65 |   2.57 |  10.92 |   0.18 |   9.19 |   0.35 |   9.06 |  -0.19 |   0.46 |   8.27 |
  NGC4236                 | UGC07306,PGC039346,NGC4236,MCG+12-12-004,LGG176:[G93]005,KIG0523,IRAS12140+6947,CGCG335-008,2MASXJ12164211+6927452                                                                                                                                               |     39346 |    NaN |  28.22 |   12.27836 |   69.46261 |       -3 |        2 |       -1 |        4 |      270 |  161.3 |   90.0 |     0.54 |     0.04 | SBd   | B    |       |           |             |   8.0 |   0.3 |     2.37 |     0.02 |  68.14 |   1.64 |  68.14 |    NaN |  11.26 |   0.13 |  11.48 |   0.06 |   9.03 |    NaN |   0.30 |    NaN |
  NGC4559                 | UGC07766,PGC042002,NGC4559,MCG+05-30-030,IRAS12334+2814,CGCG159-024,AGC007766,ADBSJ123546+2801,2MASXJ12355768+2757351                                                                                                                                            |     42002 |  30.78 |  29.27 |   12.59937 |   27.95975 |      814 |        2 |      814 |        2 |      974 |  148.3 |   64.8 |     0.34 |     0.04 | Sc    | B    |       |           |             |   6.0 |   0.4 |     2.02 |     0.02 | 102.95 |   2.10 | 113.82 |   2.38 |  11.80 |   0.12 |  10.46 |   0.08 |   9.61 |    NaN |   0.36 |   9.12 |
  NGC4569                 | [RG2008]J189.20747+13.16294,VCC1690,UGC07786,PGC042089,NGC4569,MESSIER090,MCG+02-32-155,IRAS12343+1326,EVCC2184,CGCG070-192,ARP076,ALFALFA1-370,AGC007786,2MASXJ12364981+1309463                                                                                 |     42089 |    NaN |  30.37 |   12.61387 |   13.16339 |     -220 |        2 |     -219 |        3 |     -124 |   22.3 |   70.9 |     0.38 |     0.05 | Sab   | B    |       |           |             |   2.4 |   0.7 |     1.96 |     0.02 | 174.58 |   5.55 | 184.80 |   5.95 |  15.34 |   0.17 |  10.48 |   0.20 |   9.49 |   0.33 |   0.60 |   8.93 |
  NGC4631                 | WSRT-CVN64,UGC07865,SDSSJ124207.85+323240.5,PGC042637,NGC4631,MCG+06-28-020,LGG291:[G93]005,KUG1239+328B,KPG350A,IRAS12396+3249,EONJ190.533+32.541,EGISJ124207.7+323229,CGCG188-016,ARP281:,AGC007865,2MASXJ12420800+3232294,2MASXJ12420774+3232350              |     42637 |  30.40 |  29.33 |   12.70219 |   32.54203 |      616 |        3 |      614 |        3 |      797 |   85.7 |   90.0 |     0.82 |     0.05 | SBcd  | B    |       | M         |             |   6.5 |   0.7 |     2.16 |     0.02 | 138.41 |   3.47 | 138.41 |    NaN |  11.04 |   0.14 |   8.18 |   0.07 |   7.99 |    NaN |   0.39 |   9.09 |
  NGC4725                 | UGC07989,PGC043451,NGC4725,MCG+04-30-022,KUG1247+257B,IRAS12480+2547,IRAS12478+2545,HIPASSJ1250+25,CGCG129-027,AGC007989,ADBSJ125029+2530,2MASXJ12502661+2530027                                                                                                 |     43451 |  31.52 |  30.41 |   12.84073 |   25.50123 |     1207 |        2 |     1207 |        2 |     1362 |   35.7 |   45.4 |     0.14 |     0.04 | SABa  | B    | R     |           |             |   2.2 |   0.6 |     1.99 |     0.02 | 183.15 |   3.76 | 257.27 |   5.82 |  12.84 |   0.12 |  11.01 |   0.05 |   9.68 |    NaN |   0.67 |   8.14 |
  NGC4789A                | UGC08024,PGC043869,NGC4789A,MCG+05-30-120,DDO154,CGCG160-004,CGCG159-109,BTS158,AGC008024,ADBSJ125411+2709,2MASXJ12540524+2708586                                                                                                                                |     43869 |  29.52 |  28.03 |   12.90150 |   27.15003 |      374 |        1 |      374 |        2 |      537 |   36.8 |   56.2 |     0.18 |     0.05 | I     | B    |       |           | D           |   9.9 |   0.4 |     1.28 |     0.05 |  33.24 |   0.77 |  40.02 |   0.98 |  13.18 |   0.14 |    NaN |   0.04 |  13.73 |  -0.31 |   0.24 |    NaN |
  NGC5195                 | VV001:,UGC08494,SDSSJ132958.86+471557.3,PGC047413,NGC5195,MCG+08-25-014,LGG347:[G93]008,KPG379B,IRAS13278+4731,CGCG246-009,ARP085:,2MASXJ13295958+4715580                                                                                                        |     47413 |  30.18 |  29.40 |   13.49982 |   47.26606 |      472 |       21 |      462 |        6 |      714 |   79.0 |   40.5 |     0.10 |     0.04 | SBa   | B    |       |           |             |   0.6 |   3.8 |     1.74 |     0.04 |  78.18 |   6.95 | 120.26 |  11.02 |    NaN |    NaN |    NaN |   0.15 |  10.26 |   0.26 |   0.84 |    NaN |
