# column 1: galaxy name
# column 2: survey tag
# column 3: product tag
# column 4: file name
am1001-270 lvl_release irac1 ../../data/irac/lvl/AM1001-270_irac1.fits
arpsloop lvl_release irac1 ../../data/irac/lvl/ArpsLoop_irac1.fits
bk03n lvl_release irac1 ../../data/irac/lvl/BK03N_irac1.fits
bk05n lvl_release irac1 ../../data/irac/lvl/BK05N_irac1.fits
bk06n lvl_release irac1 ../../data/irac/lvl/BK06N_irac1.fits
cgcg035-007 lvl_release irac1 ../../data/irac/lvl/CGCG035-007_irac1.fits
cgcg217-018 lvl_release irac1 ../../data/irac/lvl/CGCG217-018_irac1.fits
cgcg269-049 lvl_release irac1 ../../data/irac/lvl/CGCG269-049_irac1.fits
ddo078 lvl_release irac1 ../../data/irac/lvl/DDO078_irac1.fits
ddo210 lvl_release irac1 ../../data/irac/lvl/DDO210_irac1.fits
eso115-g021 lvl_release irac1 ../../data/irac/lvl/ESO115-G021_irac1.fits
eso119-g016 lvl_release irac1 ../../data/irac/lvl/ESO119-G016_irac1.fits
eso149-g003 lvl_release irac1 ../../data/irac/lvl/ESO149-G003_irac1.fits
eso154-g023 lvl_release irac1 ../../data/irac/lvl/ESO154-G023_irac1.fits
eso158-g003 lvl_release irac1 ../../data/irac/lvl/ESO158-G003_irac1.fits
eso245-g005 lvl_release irac1 ../../data/irac/lvl/ESO245-G005_irac1.fits
eso245-g007 lvl_release irac1 ../../data/irac/lvl/ESO245-G007_irac1.fits
eso294-g010 lvl_release irac1 ../../data/irac/lvl/ESO294-G010_irac1.fits
eso321-g014 lvl_release irac1 ../../data/irac/lvl/ESO321-G014_irac1.fits
eso347-g017 lvl_release irac1 ../../data/irac/lvl/ESO347-G017_irac1.fits
eso410-g005 lvl_release irac1 ../../data/irac/lvl/ESO410-G005_irac1.fits
eso444-g084 lvl_release irac1 ../../data/irac/lvl/ESO444-G084_irac1.fits
eso483-g013 lvl_release irac1 ../../data/irac/lvl/ESO483-G013_irac1.fits
eso486-g021 lvl_release irac1 ../../data/irac/lvl/ESO486-G021_irac1.fits
eso540-g030 lvl_release irac1 ../../data/irac/lvl/ESO540-G030_irac1.fits
eso540-g032 lvl_release irac1 ../../data/irac/lvl/ESO540-G032_irac1.fits
f8d1 lvl_release irac1 ../../data/irac/lvl/F8D1_irac1.fits
fm20001 lvl_release irac1 ../../data/irac/lvl/FM20001_irac1.fits
hs98117 lvl_release irac1 ../../data/irac/lvl/HS98117_irac1.fits
ic0559 lvl_release irac1 ../../data/irac/lvl/IC0559_irac1.fits
ic1574 lvl_release irac1 ../../data/irac/lvl/IC1574_irac1.fits
ic1959 lvl_release irac1 ../../data/irac/lvl/IC1959_irac1.fits
ic2049 lvl_release irac1 ../../data/irac/lvl/IC2049_irac1.fits
ic4247 lvl_release irac1 ../../data/irac/lvl/IC4247_irac1.fits
ic4951 lvl_release irac1 ../../data/irac/lvl/IC4951_irac1.fits
ic5052 lvl_release irac1 ../../data/irac/lvl/IC5052_irac1.fits
ic5256 lvl_release irac1 ../../data/irac/lvl/IC5256_irac1.fits
ic5332 lvl_release irac1 ../../data/irac/lvl/IC5332_irac1.fits
ikn lvl_release irac1 ../../data/irac/lvl/IKN_irac1.fits
isz399 lvl_release irac1 ../../data/irac/lvl/ISZ399_irac1.fits
kdg061 lvl_release irac1 ../../data/irac/lvl/KDG061_irac1.fits
kdg073 lvl_release irac1 ../../data/irac/lvl/KDG073_irac1.fits
kk98208 lvl_release irac1 ../../data/irac/lvl/KK98208_irac1.fits
kk98230 lvl_release irac1 ../../data/irac/lvl/KK98230_irac1.fits
kkh037 lvl_release irac1 ../../data/irac/lvl/KKH037_irac1.fits
kkh057 lvl_release irac1 ../../data/irac/lvl/KKH057_irac1.fits
kkh086 lvl_release irac1 ../../data/irac/lvl/KKH086_irac1.fits
kkh098 lvl_release irac1 ../../data/irac/lvl/KKH098_irac1.fits
kkr25 lvl_release irac1 ../../data/irac/lvl/KKR25_irac1.fits
leda166101 lvl_release irac1 ../../data/irac/lvl/LEDA166101_irac1.fits
m81dwa lvl_release irac1 ../../data/irac/lvl/M81dwA_irac1.fits
mcg-03-34-002 lvl_release irac1 ../../data/irac/lvl/MCG-03-34-002_irac1.fits
