Title: The Survey for Ionization in Neutral Gas Galaxies: I. Description 
       and Initial Results  
Authors: Meurer G.R., Hanish D.J., Ferguson H.C., Knezek P.M., Kilborn V.A., 
         Putman M.E., Smith R.C., Koribalski B., Meyer M., Oey M.S., 
         Ryan-Weber E.V., Zwaan M.A., Heckman T.M., Kennicutt R.C., Jr., 
         Lee J.C., Webster R.L., Bland-Hawthorn J., Dopita M.A., Freeman K.C., 
         Doyle M.T., Drinkwater M.J., Staveley-Smith L., Werk J. 
Table: Source identification and measurement apertures for SR1
================================================================================
Byte-by-byte Description of file: datafile6.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label  Explanations
--------------------------------------------------------------------------------
   1- 18 A18    ---    ID     Source identification
  20- 38 A19    ---    OID    Optical identification (1)
  40- 46 A7     ---    Morph  RC3 (de Vaucouleurs et al. 1991) morphology code
  48- 49 I2     h      RAh    Hour of Right Ascension (J2000)
  51- 52 I2     min    RAm    Minute of Right Ascension (J2000)
  54- 57 F4.1   s      RAs    Second of Right Ascension (J2000)
      59 A1     ---    DE-    Sign of the Declination (J2000)
  60- 61 I2     deg    DEd    Degree of Declination (J2000)
  63- 64 I2     arcmin DEm    Arcminute of Declination (J2000)
  66- 67 I2     arcsec DEs    Arcsecond of Declination (J2000)
  69- 77 A9     ---    Filt   Filters used in the observation (2)
  79- 81 I3     arcsec Rmax   Semi-major axis length (3)
  83- 86 F4.2   ---    a/b    Axial ratio (4)
  88- 90 I3     ---    theta  Position angle (5)
--------------------------------------------------------------------------------
Note (1): From HOPCAT (Doyle et al. 2005), the BGC (Koribalski et al. 2004) 
          or NED.  Note that some of prefixes have been abbreviated 
          (e.g. 2MASSXJ -> 2MJ ; APMUKSB -> A-B).
Note (2): where [narrow band;continuum]. 
Note (3): Of elliptical aperture used to measure total flux. 
Note (4): Of aperture used to measure total flux.
Note (5): Of the major axis, measured from north toward the east, of the 
          aperture used to measure total flux.  
--------------------------------------------------------------------------------
HIPASS J0005-28    ESO409-IG015                00 05 31.7 -28 05 53 6568/28;R  65 1.72 141 
HIPASS J0019-22    MCG-04-02-003       .I..9*P 00 19 11.5 -22 40 06 6568/28;R  75 1.60   3 
HIPASS J0031-22    ESO473-G024         .IBS9.. 00 31 22.2 -22 46 02 6568/28;R  72 1.41  26 
HIPASS J0039-14a   NGC178              .SBS9.. 00 39 08.2 -14 10 29 6605/32;R 139 2.12   9 
HIPASS J0043-22    IC1574              .IBS9.. 00 42 27.0 -22 06 19 6568/28;R  71 1.73 172 
HIPASS J0135-41    NGC625              .SBS9/  01 35 06.2 -41 26 04 6568/28;R 238 2.37  94 
HIPASS J0145-43    ESO245-G005         .IBS9.. 01 45 04.2 -43 35 33 6568/28;R 219 1.67 124 
HIPASS J0156-68    ESO052-G010                 01 56 50.6 -68 59 46 6605/32;R  50 1.96 172 
HIPASS J0209-10:S1 NGC839              .L..*P/ 02 09 42.7 -10 11 03 6653/68;R  70 2.41  87 
HIPASS J0209-10:S2 NGC838              .LAT0P* 02 09 38.5 -10 08 49 6653/68;R  61 1.37  76 
HIPASS J0209-10:S3 NGC835              .SXR2*P 02 09 25.0 -10 08 11 6653/68;R 129 2.19 100 
HIPASS J0209-10:S4 NGC833              PS..1*P 02 09 20.8 -10 07 55 6653/68;R  50 2.29  82 
HIPASS J0216-11c   NGC873              .S..5P* 02 16 32.3 -11 20 54 6653/68;R  70 1.36 150 
