# column 1: galaxy name
# column 2: v_flat for my rotation curve parameterization (km/s)
# column 3: l_flat for my rotation curve parameterization (deg)
# column 4: l_flat (kpc), linked to 3 by dist
# column 5: systemic velocity in heliocentric, optical km/s
#     name | vflat| lflat_deg | lflat_kpc | vsys_hel
    ddo053 |   nan|    nan    |  nan	  | nan
    ddo154 |   50.|0.02640    | 1.98	  | 375.9
    ddo165 |   nan|    nan    |  nan	  | nan
       hoi |   53.|0.00629    | 0.42	  | nan
      hoii |   36.|0.00944    | 0.56	  | nan
    ic2574 |  134.|0.18528    |12.94	  | 53.1
    m81dwa |   nan|    nan    |  nan	  | nan
    m81dwb |   nan|    nan    |  nan	  | nan
ngc0337 | 125.25146 | 0.0066170581 | 2.8525895 | 1634.6707
ngc0628 | 202.06713 | 0.0062607142 | 0.79767157 | 656.12878
ngc0925 | 141.55528 | 0.042664206 | 6.8506038 | 547.80945
   ngc1569 |   nan|    nan    |  nan	  | nan
ngc2366 | 55.888331 | 0.030474841 | 1.8084135 | 102.86159
ngc2403 | 119.97254 | 0.017048690 | 0.95217848 | 134.21367
ngc2798 | 248.79422 | 0.010911339 | 4.7038384 | 1735.9765
ngc2841 | 314.56302 | 0.0094130534 | 2.3164718 | 638.83938
ngc2903 | 208.43587 | 0.015372017 | 2.3878014 | 555.17894
ngc2976 | 87.834297 | 0.017807570 | 1.1188826 | 1.3735328
   ngc3031 |  236.|0.00663    | 0.42	  | -39.8
   ngc3034 |   nan|    nan    |  nan	  | nan
ngc3049 | 178.30070 | 0.019404687 | 3.0142133 | 1459.6176
   ngc3077 |   nan|    nan    |  nan	  | nan
ngc3184 | 197.47601 | 0.012793544 | 2.4785131 | 591.63073
   ngc3190 |   60.|0.00443    | 1.3	  | nan
ngc3198 | 153.50282 | 0.012544756 | 3.0214727 | 660.78931
ngc3351 | 204.19734 | 0.0063281528 | 1.1155158 | 779.92235
ngc3521 | 225.06726 | 0.0077709262 | 1.4512222 | 804.07668
ngc3621 | 136.72876 | 0.012992747 | 1.4966570 | 731.08301
ngc3627 | 192.78623 | 0.0067189114 | 1.0905843 | 714.24564
ngc3938 | 144.59529 | 0.0034388848 | 0.73224230 | 808.19063
ngc4214 | 353.17858 | 0.21546915 | 10.905874 | 292.03348
ngc4236 | 216.74006 | 0.20445272 | 15.879260 | -11.967342
ngc4254 | 168.12515 | 0.0040431802 | 1.4113361 | 2394.3333
ngc4321 | 227.00599 | 0.0072645028 | 1.8130898 | 1571.9055
   ngc4449 |   nan|    nan    |  nan	  | nan
ngc4536 | 182.62586 | 0.0027617946 | 0.69893491 | 1793.2079
ngc4559 | 103.11228 | 0.010299682 | 2.0798621 | 814.06117
ngc4569 | 220.63056 | 0.0092822240 | 3.2401074 | -224.75684
ngc4579 | 265.27672 | 0.0048407582 | 1.7404357 | 1511.4567
   ngc4594 |   nan|    nan    |  nan	  | nan
ngc4625 | 26.975461 | 0.0032142581 | 0.53294417 | 609.04591
ngc4631 | 128.98488 | 0.018041058 | 2.8023950 | 621.04524
ngc4725 | 221.18184 | 0.0066096892 | 1.0728558 | 1185.9219
ngc4736 | 168.12832 | 0.0030560714 | 0.25069098 | 310.21812
   ngc4826 |   nan|    nan    |  nan	  | 407.4
ngc5055 | 199.92943 | 0.0040190686 | 0.70847441 | 496.23293
ngc5194 | 212.36060 | 0.0041854544 | 0.58439967 | 457.33737
   ngc5236 |  196.|0.01640    | 1.29	  | nan
ngc5457 | 209.28318 | 0.0089284913 | 1.1531536 | 245.09045
   ngc5474 |   nan|    nan    |  nan	  | nan
ngc6946 | 187.68128 | 0.011219842 | 1.1553568 | 42.680439
ngc7331 | 259.26907 | 0.0075140972 | 1.9278423 | 816.25828
ngc7793 | 107.53240 | 0.017851850 | 1.2151369 | 226.20697
