| objname   | ra     | dec    |
| char      | double | double |
bk3n       147.425       69.2050
ddo006       11.8391      -21.2852
ddo043       111.210       40.8728
ddo046       114.504       40.2289
ddo047       114.764       16.9207
ddo050       123.466       70.8778
ddo052       126.277       42.0230
ddo053       127.391       66.3512
ddo063       144.017       71.4101
ddo069       149.135       30.9862
ddo082       156.695       70.8779
ddo087       161.574       65.7952
ddo099       177.070       39.1585
ddo101       178.268       31.7971
ddo125       186.314       43.7705
ddo126       186.154       37.4199
ddo133       187.610       31.8167
ddo154       192.915       27.4207
ddo155       194.045       14.4870
ddo165       196.156       67.9739
ddo167       197.795       46.5849
ddo168       198.068       46.1839
ddo181       204.434       40.9920
ddo183       207.173       38.2681
ddo187       213.411       23.2871
ddo190       215.702       44.7514
ddo210       311.027      -13.0317
ddo216       351.520       14.4673
holmbergi       144.017       71.4101
holmbergii       123.466       70.8778
ic10       4.41690       59.0157
ic1613       15.5559       1.84994
ic2574       156.181       68.6687
ic342       55.4923       67.9462
kdg73       162.367       69.8120
kkh86       208.009       4.48950
kkh98       355.766       38.4400
kkr03       211.255       35.2983
lgs3       15.3090       21.6198
lsbcd564-08       135.012       20.2728
maffei2       39.5328       59.3900
mcg+09-20-131       183.327       52.6650
mrk178       172.690       49.5144
ngc0024       1.84903      -25.2421
ngc0247       11.1662      -21.0333
ngc0253       11.2739      -25.5612
ngc0337       14.3275      -7.84757
ngc0404       16.6634       35.4518
ngc0584       22.2087      -7.12524
ngc0628       23.5018       15.5287
ngc0772       29.1442       18.7652
ngc0855       32.7942       27.6438
ngc0925       36.0705       33.3551
ngc1068       40.0294     -0.225427
ngc1097       41.0467      -30.4841
ngc1156       44.1948       25.0406
ngc1266       48.3718      -2.61116
ngc1291       48.8712      -41.2903
ngc1316       50.1967      -37.3856
ngc1377       53.6086      -21.0661
ngc1404       54.2384      -35.7561
ngc1482       58.1105      -20.6483
ngc1512       60.5654      -43.4848
ngc1569       66.5195       64.7399
ngc1637       69.7400      -2.95307
ngc2146       92.6672       78.3747
ngc2366       110.901       69.3173
ngc2403       113.010       65.7139
ngc2681       132.490       51.5034
ngc2782       137.723       40.3210
ngc2798       138.539       42.2090
ngc2841       139.648       51.1903
ngc2903       142.335       21.7228
ngc2915       141.630      -76.4082
ngc2976       145.791       68.1478
ngc3031       147.864       69.3024
ngc3034       147.932       69.9170
ngc3049       148.042       9.50840
ngc3077       149.832       68.9758
ngc3109       150.205      -25.9172
ngc3147       153.166       73.6502
ngc3184       153.823       41.6750
ngc3190       153.837       22.0833
ngc3198       154.216       45.8011
ngc3265       157.079       29.0536
ngc3344       160.196       25.1846
ngc3351       160.330       11.9662
ngc3368       161.031       12.0836
ngc3486       164.419       29.2435
ngc3521       165.812      0.234504
ngc3593       168.000       13.0904
ngc3621       168.961      -32.5404
ngc3627       169.410       13.2649
ngc3631       169.556       53.4441
ngc3726       172.661       47.3053
ngc3738       173.265       54.8017
ngc3741       173.353       45.5623
ngc3773       173.908       12.3891
ngc3938       177.555       44.3989
ngc3949       177.773       48.1370
ngc3953       177.802       52.6047
ngc3992       178.753       53.6527
ngc4051       180.152       44.8095
ngc4102       180.965       52.9892
ngc4151       182.005       39.6839
ngc4163       182.407       36.4474
ngc4190       182.806       36.9112
ngc4192       182.815       15.1779
ngc4212       183.278       14.1792
ngc4214       183.285       36.6052
ngc4236       183.585       69.7402
ngc4254       184.071       14.6940
ngc4258       184.123       47.5813
ngc4273       184.345       5.62131
ngc4303       184.840       4.75144
ngc4321       185.095       16.0990
ngc4402       185.898       13.3899
ngc4414       185.991       31.5001
ngc4419       186.103       15.3239
ngc4449       186.437       44.3694
ngc4450       186.493       17.3614
ngc4490       187.043       41.9197
ngc4501       187.366       14.6960
ngc4504       187.427      -7.28748
ngc4535       187.950       8.47324
ngc4536       187.974       2.46339
ngc4548       188.230       14.7713
ngc4559       188.372       28.2348
ngc4569       188.578       13.4380
ngc4579       188.800       12.0929
ngc4594       189.348      -11.3486
ngc4605       189.444       61.8834
ngc4625       189.872       41.5478
ngc4631       189.924       32.8163
ngc4654       190.357       13.4001
ngc4689       191.313       14.0354
ngc4699       191.610      -8.39188
ngc4725       191.999       25.7729
ngc4736       192.133       41.3918
ngc4789a       192.915       27.4207
ngc4826       193.569       21.9522
ngc5005       197.157       37.3248
ngc5033       197.788       36.8583
ngc5055       198.396       42.2929
ngc5194       201.943       47.4528
ngc5236       203.548      -29.6110
ngc5247       203.836      -17.6300
ngc5248       203.761       9.13917
ngc5371       208.390       40.7059
ngc5398       209.609      -32.8224
ngc5408       210.074      -41.1366
ngc5457       210.360       54.5887
ngc5474       210.812       53.9007
ngc5713       219.407    -0.0749236
ngc5866       226.280       55.9550
ngc6217       248.767       78.3003
ngc6503       267.490       70.1568
ngc6822       295.530      -14.9219
ngc6946       308.456       59.9802
ngc6951       309.153       65.9296
ngc7331       338.695       34.1558
ngc7793       358.814      -32.8695
pgc023521       124.677       71.1918
pgc029284       150.356       70.6076
pgc29194       150.446      -27.0891
sagdig       291.773      -17.7839
sextansa       152.123      -4.44601
sextansb       149.346       5.57253
ugc2855       55.8065       69.9790
ugc4305       123.466       70.8778
ugc4483       128.031       69.9502
ugc5139       144.017       71.4101
ugc5336       148.365       69.2842
ugc5423       150.356       70.6076
ugc5720       157.344       54.6586
ugc7950       191.166       51.8862
ugc8201       196.156       67.9739
ugc8508       202.196       55.1686
ugc8833       208.158       36.0825
ugca281       185.965       48.7708
ugca292       189.055       33.0415
viizw403       171.146       79.2692
wlm       359.852      -15.7393
