| objname   | ra     | dec    |
| char      | double | double |
pgc5065930       184.473       14.7569
pgc3085813       100.884       63.7059
pgc41463       187.927       20.4816
pgc3517738       269.758      -44.2651
pgc42772       190.780       32.4908
pgc42413       190.042       32.6588
pgc100707       190.447       32.8573
pgc4546890       191.047       32.2060
pgc3795046       191.025       32.2093
pgc4099065       173.516       48.4770
pgc35165       171.536      -5.58592
pgc51026       214.320       58.7095
pgc3167414       172.131       58.5621
pgc47020       201.558       37.7681
pgc49550       209.037      -45.6592
pgc135848       218.473       1.48669
pgc75146       65.7155      -56.2264
pgc28136       146.893      -2.03316
pgc55224       232.346      -12.2460
pgc4126746       307.774      -33.4859
pgc69224       338.727      -4.70154
pgc9559       37.6722      -3.81187
pgc31171       158.243      -27.6701
pgc3085824       166.825       61.5242
pgc11245       44.5895      -2.04172
pgc44701       195.021      -15.3649
pgc37415       178.808      -6.45564
pgc2801014       214.265      -1.50437
pgc135872       342.597      0.877640
pgc34856       170.492      -37.9011
pgc14903       65.0344      -36.6845
pgc46799       200.921      -78.6832
pgc68498       334.320      -45.0671
pgc3295333       191.192     -0.428610
pgc60369       262.267       74.2578
pgc45652       197.448      -10.3200
pgc36000       174.459       56.1447
pgc16708       76.3104      -18.3892
pgc2832054       40.8563       16.7333
pgc47844       203.663      -23.6804
pgc53677       225.480      -18.6087
pgc38      0.118800       17.2203
pgc45016       195.652      -11.4370
pgc2315215       173.428       48.3346
pgc39260       184.049       8.37336
pgc44589       194.846      -27.4269
pgc46029       198.584      -46.1247
pgc952909       201.290      -12.4288
pgc91337       212.473       20.3100
pgc47506       202.745       19.4365
pgc62492       282.710      -55.5068
pgc44271       194.305      -46.3777
pgc39036       183.477       74.5014
pgc12680       50.8548      -19.2832
pgc25855       137.547      -79.2360
pgc45142       195.978      -11.5057
pgc14279       60.2272      -67.6115
pgc166137       186.371       28.4846
pgc2806914       161.232       20.8678
pgc43020       191.422      -6.06901
pgc70356       345.846      -19.5041
pgc62963       288.811      -54.6631
