name|dist|r25|scale_length|sl_error|starmass|hstar|cstar
(...)|(mpc)|(kpc)|(kpc)|(kpc)|(logmsun)|(pc)|(km/s)
ddo053|      3.60000|     0.406442|     0.359318|     0.214588|      6.51435|      65.2204|      25.0000
ddo154|      4.30000|      1.23074|     0.750517|    0.0670784|      7.14612|      117.568|      25.0000
hoi|         3.80000|      1.82171|     0.820342|     0.143699|      7.42893|      126.240|      25.0000
hoii|        3.40000|      3.71685|      1.15619|    0.0720699|      8.34827|      166.120|      25.0000
ic2574|      4.00000|      7.46030|      2.05892|    0.0630647|      8.72153|      263.579|      25.0000
m81dwa|      3.60000|     0.674526|     0.529093|     0.121059|      6.45056|      88.8844|      25.0000
m81dwb|          NaN|          NaN|         0.51|          NaN|          NaN|          NaN|          NaN
ngc0337|         NaN|          NaN|         2.22|          NaN|          NaN|          NaN|          NaN
ngc0628|     7.30000|      10.4477|      2.27701|    0.0464271|      10.0925|      285.688|      25.0000
ngc0925|     9.20000|      14.2391|      4.08564|     0.110444|      9.85658|      456.045|      25.0000
ngc1569|         NaN|          NaN|          NaN|          NaN|          NaN|          NaN|          NaN
ngc2366|         NaN|          NaN|          NaN|          NaN|          NaN|          NaN|          NaN
ngc2403|     3.20000|      7.32565|      1.59141|    0.0407193|      9.65328|      214.499|      25.0000
ngc2798|         NaN|          NaN|         1.98|          NaN|          NaN|          NaN|          NaN
ngc2841|     14.1000|      14.1552|      4.00859|     0.150452|      10.7822|      449.152|      25.0000
ngc2903|         NaN|          NaN|         2.29|          NaN|          NaN|          NaN|          NaN
ngc2976|     3.60000|      3.76703|     0.938003|    0.0494679|      9.13973|      140.528|      25.0000
ngc3031|     3.60000|      11.3240|      2.62767|    0.0536222|      10.5974|      320.373|      25.0000
ngc3049|         NaN|          NaN|         0.79|          NaN|          NaN|          NaN|          NaN
ngc3077|     3.80000|      2.98181|     0.714091|    0.0156016|      9.32297|      112.980|      25.0000
ngc3184|     11.1000|      11.9404|      2.39029|    0.0922586|      10.2516|      297.003|      25.0000
ngc3190|         NaN|          NaN|         2.12|          NaN|          NaN|          NaN|          NaN
ngc3198|     13.8000|      12.9890|      3.20759|    0.0976679|      10.1463|      375.788|      25.0000
ngc3351|     10.1000|      10.5686|      2.23304|    0.0453612|      10.3530|      281.266|      25.0000
ngc3521|     10.7000|      12.9443|      2.87206|     0.111301|      10.7203|      343.997|      25.0000
ngc3621|     6.60000|      9.42410|      1.58614|    0.0404523|      10.0724|      213.931|      25.0000
ngc3627|     9.30000|      13.9053|      2.82508|    0.0618300|      10.6065|      339.488|      25.0000
ngc4214|     2.90000|      2.86480|     0.694050|    0.0177526|      8.84695|      110.437|      25.0000
ngc4254|         NaN|          NaN|         2.06|          NaN|          NaN|          NaN|          NaN
ngc4321|         NaN|          NaN|         3.91|          NaN|          NaN|          NaN|          NaN
ngc4449|     4.20000|      2.84410|     0.892853|    0.0204452|      9.32226|      135.090|      25.0000
ngc4536|         NaN|          NaN|         4.03|          NaN|          NaN|          NaN|          NaN
ngc4579|         NaN|          NaN|         5.20|          NaN|          NaN|          NaN|          NaN
ngc4725|         NaN|          NaN|         2.79|          NaN|          NaN|          NaN|          NaN
ngc4736|     4.70000|      5.29412|      1.05651|    0.0349547|      10.2723|      154.560|      25.0000
ngc4826|     7.50000|      11.5281|      2.12945|    0.0515663|      10.5772|      270.778|      25.0000
ngc5055|     10.1000|      17.4188|      3.15381|    0.0868491|      10.8385|      370.739|      25.0000
ngc5194|     8.00000|      8.96987|      2.79291|     0.189033|      10.6495|      336.392|      25.0000
ngc5236|         NaN|          NaN|         1.97|          NaN|          NaN|          NaN|          NaN
ngc5457|         NaN|          NaN|         4.09|          NaN|          NaN|	       NaN|          NaN
ngc5474|         NaN|          NaN|         0.83|          NaN|          NaN|          NaN|          NaN
ngc6946|     5.90000|      9.78471|      2.45384|    0.0671321|      10.4714|      303.303|      25.0000
ngc7331|     14.7000|      19.6342|      3.31243|     0.191369|      10.9433|      385.583|      25.0000
ngc7793|     3.90000|      5.98082|      1.31134|    0.0265459|      9.52585|      183.727|      25.0000
